DATASET: CARD
Family	True_Pos	Res_hits	Rel_Seqs	Precision	Recall
MB-RF001	9	9	9	1.0	1.0
MB-RF002	19	19	33	1.0	0.5757575757575758
MB-RF003	18	18	33	1.0	0.5454545454545454
MB-RF004	53	53	64	1.0	0.828125
MB-RF005	4	4	5	1.0	0.8
MB-RF006	124	124	139	1.0	0.8920863309352518
MB-RF007	1	1	1	1.0	1.0
MB-RF008	14	14	14	1.0	1.0
MB-RF009	19	19	19	1.0	1.0
MB-RF010	19	19	19	1.0	1.0
MB-RF011	124	124	144	1.0	0.8611111111111112
MB-RF012	38	38	54	1.0	0.7037037037037037
MB-RF013	1	1	1	1.0	1.0
MB-RF014	28	28	43	1.0	0.6511627906976745
MB-RF015	4	4	4	1.0	1.0
MB-RF016	4	4	4	1.0	1.0
MB-RF017	2	2	2	1.0	1.0
MB-RF018	20	20	21	1.0	0.9523809523809523
MB-RF019	3	3	3	1.0	1.0
MB-RF020	13	13	13	1.0	1.0
MB-RF021	1	1	1	1.0	1.0
MB-RF022	6	6	7	1.0	0.8571428571428571
MB-RF023	4	4	4	1.0	1.0
MB-RF024	3	3	4	1.0	0.75
MB-RF025	2	2	2	1.0	1.0
MB-RF026	1	1	1	1.0	1.0
MB-RF027	7	7	7	1.0	1.0
MB-RF028	1	1	1	1.0	1.0
MB-RF029	0	0	0	N/A	N/A
MB-RF030	22	22	22	1.0	1.0
MB-RF031	1	1	1	1.0	1.0
MB-RF032	8	8	9	1.0	0.8888888888888888
MB-RF033	6	6	6	1.0	1.0
MB-RF034	720	720	720	1.0	1.0
MB-RF035	190	190	192	1.0	0.9895833333333334
MB-RF036	309	309	309	1.0	1.0
MB-RF037	439	439	439	1.0	1.0
MB-RF038	230	230	238	1.0	0.9663865546218487
MB-RF039	28	28	28	1.0	1.0
MB-RF040	109	109	109	1.0	1.0
MB-RF041	4	4	16	1.0	0.25
MB-RF042	9	9	9	1.0	1.0
MB-RF043	11	11	52	1.0	0.21153846153846154
MB-RF044	38	38	52	1.0	0.7307692307692307
MB-RF045	15	15	52	1.0	0.28846153846153844
MB-RF046	8	8	8	1.0	1.0
MB-RF047	31	31	31	1.0	1.0
MB-RF048	144	144	144	1.0	1.0
MB-RF049	18	18	18	1.0	1.0
MB-RF050	7	7	7	1.0	1.0
MB-RF051	7	7	7	1.0	1.0
MB-RF052	3	3	3	1.0	1.0
MB-RF053	4	4	4	1.0	1.0
MB-RF054	6	6	6	1.0	1.0
MB-RF055	42	42	42	1.0	1.0
MB-RF056	5	5	5	1.0	1.0
MB-RF057	1	1	1	1.0	1.0
MB-RF058	42	42	42	1.0	1.0
MB-RF059	29	29	29	1.0	1.0
MB-RF060	32	32	54	1.0	0.5925925925925926
MB-RF061	20	20	20	1.0	1.0
MB-RF062	7	7	7	1.0	1.0
MB-RF063	48	48	48	1.0	1.0
MB-RF064	1	1	1	1.0	1.0
MB-RF065	18	18	18	1.0	1.0
MB-RF066	2	2	2	1.0	1.0
MB-RF067	19	19	19	1.0	1.0
MB-RF068	1	1	1	1.0	1.0
MB-RF069	0	0	2	N/A	0.0
MB-RF070	29	29	29	1.0	1.0
MB-RF071	8	8	8	1.0	1.0
MB-RF072	81	81	87	1.0	0.9310344827586207
MB-RF073	1	1	1	1.0	1.0
MB-RF074	1	1	1	1.0	1.0
MB-RF075	0	0	0	N/A	N/A
MB-RF076	38	38	38	1.0	1.0
MB-RF077	16	16	16	1.0	1.0
MB-RF078	12	12	12	1.0	1.0
MB-RF079	5	5	5	1.0	1.0
MB-RF080	2	2	2	1.0	1.0
MB-RF081	9	9	9	1.0	1.0
MB-RF082	0	0	1	N/A	0.0
MB-RF083	5	5	5	1.0	1.0
MB-RF084	3	3	4	1.0	0.75
MB-RF085	13	13	14	1.0	0.9285714285714286
MB-RF086	163	163	183	1.0	0.8907103825136612
MB-RF087	5	5	5	1.0	1.0
MB-RF088	11	11	11	1.0	1.0
MB-RF089	0	0	1	N/A	0.0
MB-RF090	17	17	17	1.0	1.0
MB-RF091	2	2	2	1.0	1.0
MB-RF092	0	0	2	N/A	0.0
MB-RF093	439	439	439	1.0	1.0
MB-RF094	27	27	27	1.0	1.0
MB-RF095	21	21	21	1.0	1.0
MB-RF096	26	26	26	1.0	1.0
MB-RF097	19	19	19	1.0	1.0
MB-RF098	24	24	24	1.0	1.0
MB-RF099	38	38	39	1.0	0.9743589743589743
MB-RF100	38	38	38	1.0	1.0
MB-RF101	188	188	188	1.0	1.0
MB-RF102	22	22	22	1.0	1.0
MB-RF103	0	0	0	N/A	N/A
MB-RF104	7	7	7	1.0	1.0
MB-RF105	1	1	1	1.0	1.0
