DATASET: CARD
Family	True_Pos	Res_hits	Rel_Seqs	Precision	Recall
RF0001	3	3	9	1.0	0.3333333333333333
RF0002	14	14	33	1.0	0.42424242424242425
RF0003	5	5	33	1.0	0.15151515151515152
RF0004	12	13	64	0.9230769230769231	0.1875
RF0005	0	15	0	0.0	N/A
RF0006	3	3	5	1.0	0.6
RF0007	17	17	139	1.0	0.1223021582733813
RF0008	0	44	0	0.0	N/A
RF0009	0	0	0	N/A	N/A
RF0010	0	2	0	0.0	N/A
RF0011	0	76	0	0.0	N/A
RF0012	0	35	0	0.0	N/A
RF0013	0	31	0	0.0	N/A
RF0014	0	32	0	0.0	N/A
RF0015	0	35	0	0.0	N/A
RF0016	0	19	0	0.0	N/A
RF0017	0	31	0	0.0	N/A
RF0018	0	0	0	N/A	N/A
RF0019	1	2	1	0.5	1.0
RF0020	2	2	14	1.0	0.14285714285714285
RF0021	3	3	19	1.0	0.15789473684210525
RF0022	0	1	0	0.0	N/A
RF0023	1	1	19	1.0	0.05263157894736842
RF0024	0	0	0	N/A	N/A
RF0025	0	0	0	N/A	N/A
RF0026	0	0	1	N/A	0.0
RF0027	23	23	43	1.0	0.5348837209302325
RF0028	2	2	4	1.0	0.5
RF0029	2	2	4	1.0	0.5
RF0030	2	10	2	0.2	1.0
RF0031	0	14	0	0.0	N/A
RF0032	0	46	0	0.0	N/A
RF0033	21	22	21	0.9545454545454546	1.0
RF0034	1	4	1	0.25	1.0
RF0035	1	1	7	1.0	0.14285714285714285
RF0036	0	0	4	N/A	0.0
RF0037	2	3	4	0.6666666666666666	0.5
RF0038	1	1022	1	0.0009784735812133072	1.0
RF0039	0	741	0	0.0	N/A
RF0040	2	4	2	0.5	1.0
RF0041	7	8	7	0.875	1.0
RF0042	0	0	1	N/A	0.0
RF0043	0	0	0	N/A	N/A
RF0044	21	21	22	1.0	0.9545454545454546
RF0045	0	22	0	0.0	N/A
RF0046	1	1	1	1.0	1.0
RF0047	0	1	0	0.0	N/A
RF0048	1	1	9	1.0	0.1111111111111111
RF0049	6	6	6	1.0	1.0
RF0050	0	35	0	0.0	N/A
RF0051	0	16	0	0.0	N/A
RF0052	0	0	0	N/A	N/A
RF0053	712	712	720	1.0	0.9888888888888889
RF0054	190	190	192	1.0	0.9895833333333334
RF0055	309	309	309	1.0	1.0
RF0056	426	426	439	1.0	0.9703872437357631
RF0057	192	197	238	0.9746192893401016	0.8067226890756303
RF0058	0	0	0	N/A	N/A
RF0059	137	137	144	1.0	0.9513888888888888
RF0060	0	12	0	0.0	N/A
RF0061	0	12	0	0.0	N/A
RF0062	18	19	18	0.9473684210526315	1.0
RF0063	0	38	0	0.0	N/A
RF0064	7	7	7	1.0	1.0
RF0065	6	8	6	0.75	1.0
RF0066	0	1	0	0.0	N/A
RF0067	30	30	42	1.0	0.7142857142857143
RF0068	0	4	0	0.0	N/A
RF0069	2	2	5	1.0	0.4
RF0070	1	1	1	1.0	1.0
RF0071	1	1	42	1.0	0.023809523809523808
RF0072	0	6	0	0.0	N/A
RF0073	0	0	0	N/A	N/A
RF0074	0	0	0	N/A	N/A
RF0075	0	12	0	0.0	N/A
RF0076	29	29	29	1.0	1.0
RF0077	0	18	0	0.0	N/A
RF0078	20	24	20	0.8333333333333334	1.0
RF0079	0	4	0	0.0	N/A
RF0080	48	48	48	1.0	1.0
RF0081	0	18	0	0.0	N/A
RF0082	2	2	2	1.0	1.0
RF0083	19	20	19	0.95	1.0
RF0084	1	5	1	0.2	1.0
RF0085	0	192	0	0.0	N/A
RF0086	0	16	0	0.0	N/A
RF0087	3	3	29	1.0	0.10344827586206896
RF0088	1	1	87	1.0	0.011494252873563218
RF0089	1	1	1	1.0	1.0
RF0090	0	2	0	0.0	N/A
RF0091	1	1	1	1.0	1.0
RF0092	0	4	0	0.0	N/A
RF0093	0	2	0	0.0	N/A
RF0094	1	1	2	1.0	0.5
RF0095	0	9	0	0.0	N/A
RF0096	1	1	9	1.0	0.1111111111111111
RF0097	0	0	1	N/A	0.0
RF0098	5	9	5	0.5555555555555556	1.0
RF0099	0	2	0	0.0	N/A
RF0100	3	7	4	0.42857142857142855	0.75
RF0101	1	7	14	0.14285714285714285	0.07142857142857142
RF0102	0	84	0	0.0	N/A
RF0103	0	25	0	0.0	N/A
RF0104	27	27	183	1.0	0.14754098360655737
RF0105	0	10	0	0.0	N/A
RF0106	1	1	5	1.0	0.2
RF0107	1	1	11	1.0	0.09090909090909091
RF0108	17	18	17	0.9444444444444444	1.0
RF0109	2	2	2	1.0	1.0
RF0110	0	0	0	N/A	N/A
RF0111	0	7	0	0.0	N/A
RF0112	0	0	1	N/A	0.0
RF0113	0	98	0	0.0	N/A
RF0114	1	1	11	1.0	0.09090909090909091
RF0115	29	29	120	1.0	0.24166666666666667
RF0116	0	0	6	N/A	0.0
RF0117	0	0	0	N/A	N/A
RF0118	1	1	10	1.0	0.1
RF0119	214	214	218	1.0	0.981651376146789
RF0120	5	5	5	1.0	1.0
RF0121	1	1	2	1.0	0.5
RF0122	1	1	1	1.0	1.0
RF0123	141	152	143	0.9276315789473685	0.986013986013986
RF0124	10	151	10	0.06622516556291391	1.0
RF0125	39	39	40	1.0	0.975
RF0126	166	182	166	0.9120879120879121	1.0
RF0127	6	7	8	0.8571428571428571	0.75
RF0128	1	2	1	0.5	1.0
RF0129	1	1	2	1.0	0.5
RF0130	2	2	3	1.0	0.6666666666666666
RF0131	1	1	1	1.0	1.0
RF0132	2	2	2	1.0	1.0
RF0133	7	7	7	1.0	1.0
RF0134	22	23	72	0.9565217391304348	0.3055555555555556
RF0135	11	11	12	1.0	0.9166666666666666
RF0136	3	3	4	1.0	0.75
RF0137	0	1	51	0.0	0.0
RF0138	0	0	0	N/A	N/A
RF0139	0	0	0	N/A	N/A
RF0140	0	11	0	0.0	N/A
RF0141	0	6	0	0.0	N/A
RF0142	0	6	0	0.0	N/A
RF0143	0	2	0	0.0	N/A
RF0144	0	12	0	0.0	N/A
RF0145	0	1	0	0.0	N/A
RF0146	0	0	0	N/A	N/A
RF0147	0	1	1	0.0	0.0
RF0148	0	483	0	0.0	N/A
RF0149	1	1	3	1.0	0.3333333333333333
RF0150	1	1	2	1.0	0.5
RF0151	1	1	4	1.0	0.25
RF0152	1	1	2	1.0	0.5
RF0153	5	5	6	1.0	0.8333333333333334
RF0154	12	12	12	1.0	1.0
RF0155	11	11	11	1.0	1.0
RF0156	5	5	6	1.0	0.8333333333333334
RF0157	2	2	2	1.0	1.0
RF0158	7	7	7	1.0	1.0
RF0159	5	5	6	1.0	0.8333333333333334
RF0160	1	1	2	1.0	0.5
RF0161	25	25	25	1.0	1.0
RF0162	39	39	39	1.0	1.0
RF0163	0	0	0	N/A	N/A
RF0164	0	34	0	0.0	N/A
RF0165	0	4	0	0.0	N/A
RF0166	32	32	54	1.0	0.5925925925925926
RF0167	0	6	0	0.0	N/A
RF0168	10	10	15	1.0	0.6666666666666666
RF0169	0	8	0	0.0	N/A
RF0170	0	4	0	0.0	N/A
RF0171	0	0	3	N/A	0.0
RF0172	0	0	13	N/A	0.0
RF0173	0	0	0	N/A	N/A
