DATASET: NCBI
Family	True_Pos	Res_hits	Rel_Seqs	Precision	Recall
16Ribosomal_RNA_Methyltransferase	14	14	14	1.0	1.0
AAC3	44	44	44	1.0	1.0
AAC3-I	39	39	40	1.0	0.975
AAC6-I	149	157	227	0.9490445859872612	0.6563876651982379
AAC6-II	18	18	23	1.0	0.782608695652174
ABCAntibioticEffluxPump	117	144	117	0.8125	1.0
adeA-adeI	0	0	0	N/A	N/A
adeB	9	9	9	1.0	1.0
adeC-adeK-oprM	9	9	9	1.0	1.0
adeS	6	7	6	0.8571428571428571	1.0
Aminoglycoside	452	452	452	1.0	1.0
ANT	218	218	236	1.0	0.923728813559322
ANT2	19	19	19	1.0	1.0
ANT3	191	191	191	1.0	1.0
ANT4	10	10	10	1.0	1.0
ANT6	11	11	11	1.0	1.0
ANT9	5	5	5	1.0	1.0
APH3	51	51	51	1.0	1.0
APH3_double_prime	9	9	9	1.0	1.0
APH3_prime	21	21	21	1.0	1.0
APH6	5	5	5	1.0	1.0
baeR	0	0	0	N/A	N/A
baeS	0	0	0	N/A	N/A
BCII	8	8	8	1.0	1.0
BJP	4	4	4	1.0	1.0
bla	10	10	10	1.0	1.0
BlaB	20	20	20	1.0	1.0
blaI	4	4	4	1.0	1.0
blaR1	4	4	4	1.0	1.0
CARB	51	51	51	1.0	1.0
CblA	1	1	1	1.0	1.0
Cfr23RibosomalRNAMethyltransferase	10	10	10	1.0	1.0
CfxA	12	12	12	1.0	1.0
ClassA	1025	1025	1025	1.0	1.0
ClassB	337	337	337	1.0	1.0
ClassC-AmpC	831	831	831	1.0	1.0
ClassD	788	788	790	1.0	0.9974683544303797
CMY-LAT-MOX-ACT-MIR-FOX	595	596	595	0.9983221476510067	1.0
CMY-MOX-FOX	35	36	35	0.9722222222222222	1.0
CMY	152	152	152	1.0	1.0
MOX	6	6	11	1.0	0.5454545454545454
FOX	13	13	13	1.0	1.0
ACT-MIR	17	17	17	1.0	1.0
ACT	66	66	66	1.0	1.0
MIR	20	20	20	1.0	1.0
OCH	9	9	9	1.0	1.0
PDC	297	297	297	1.0	1.0
CTX-M	209	216	209	0.9675925925925926	1.0
DHA	27	27	27	1.0	1.0
DIM-GIM-SIM	13	13	13	1.0	1.0
DIM-GIM	8	8	8	1.0	1.0
DIM	4	4	4	1.0	1.0
GIM	5	5	5	1.0	1.0
emrB	4	4	4	1.0	1.0
Erm23SRibosomalRNAMethyltransferase	88	88	88	1.0	1.0
ErmA	7	7	7	1.0	1.0
ErmB	13	14	13	0.9285714285714286	1.0
ErmC	84	88	84	0.9545454545454546	1.0
GES	45	45	45	1.0	1.0
GMR	28	32	28	0.875	1.0
GOB	17	17	17	1.0	1.0
IMI	18	18	18	1.0	1.0
IMP	75	75	75	1.0	1.0
ImrB	0	0	0	N/A	N/A
IND	19	19	19	1.0	1.0
KHM	3	3	3	1.0	1.0
KPC	41	41	41	1.0	1.0
L1	20	20	20	1.0	1.0
LCR	0	0	0	N/A	N/A
LRA-A	8	27	8	0.2962962962962963	1.0
LRA-B	6	9	6	0.6666666666666666	1.0
macA	84	84	84	1.0	1.0
macB	0	0	0	N/A	N/A
marA	0	0	0	N/A	N/A
MCA	1	1	1	1.0	1.0
MCR	67	67	67	1.0	1.0
MCR-1	25	25	25	1.0	1.0
MCR-3	28	28	29	1.0	0.9655172413793104
MCR-4	6	6	6	1.0	1.0
mecR1	1	1	1	1.0	1.0
MexA	6	6	6	1.0	1.0
MexC	0	0	0	N/A	N/A
MexE	14	14	14	1.0	1.0
MexW-MexI	0	0	0	N/A	N/A
MexX	35	35	36	1.0	0.9722222222222222
MFSAntibioticEffluxPump	221	248	224	0.8911290322580645	0.9866071428571429
mprF	0	0	0	N/A	N/A
msbA	6	6	6	1.0	1.0
MSI	0	0	0	N/A	N/A
NDM-CcrA	50	50	50	1.0	1.0
norA	0	0	0	N/A	N/A
NPS	0	0	1	N/A	0.0
OXA	788	788	790	1.0	0.9974683544303797
OXA-cluster1	37	37	37	1.0	1.0
OXA-cluster2	41	41	41	1.0	1.0
OXA-cluster3	60	60	60	1.0	1.0
OXA-cluster4	24	24	24	1.0	1.0
OXA-cluster5	36	36	37	1.0	0.972972972972973
OXA-cluster6	51	51	52	1.0	0.9807692307692307
OXA-cluster7	56	56	56	1.0	1.0
OXA-cluster8	336	336	336	1.0	1.0
OXY	28	28	28	1.0	1.0
PAC	0	0	1	N/A	0.0
PER	13	13	13	1.0	1.0
phoQ	0	0	0	N/A	N/A
PvrR	0	0	0	N/A	N/A
ramA	6	6	6	1.0	1.0
RNDefflux	93	93	93	1.0	1.0
robA	4	4	4	1.0	1.0
romA	0	0	0	N/A	N/A
SED	2	2	2	1.0	1.0
Sfh	2	2	2	1.0	1.0
SHV-LEN-OKP	249	249	249	1.0	1.0
SHV-LEN	202	228	202	0.8859649122807017	1.0
SHV	179	179	179	1.0	1.0
LEN	23	23	23	1.0	1.0
OKP	35	35	35	1.0	1.0
OKP-A	17	17	17	1.0	1.0
OKP-B	18	18	18	1.0	1.0
SME	5	5	5	1.0	1.0
soxR	3	3	3	1.0	1.0
SPM	2	2	2	1.0	1.0
SubclassB1	253	253	253	1.0	1.0
SubclassB2	15	15	15	1.0	1.0
SubclassB3	69	69	69	1.0	1.0
TE_Destructase	0	0	8	N/A	0.0
TEM	187	187	187	1.0	1.0
