NCBI:
Seq_Header	Hmmscan_Family
1105502226|WP_071846376.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	AAC6-I	RF0004
638917972|WP_024437351.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	AAC6-I	RF0004
695273112|WP_032495046.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	AAC6-I	RF0004
916601194|WP_051208285.1|1|1|aac(6')_Ia_fam|aac(6')_Ia_fam|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase	AAC6-I	RF0004
156713286|BAF76383.1|1|1|ttgA|ttgA|efflux|toluene_efflux_RND_transporter_periplasmic_adaptor_subunit_TtgA	ABC_efflux	RF0007
341579930|AAY90617.2|1|1|emhA|emhA|efflux|efflux_RND_transporter_periplasmic_adaptor_subunit_EmhA	ABC_efflux	RF0007
4321265|AAD15663.1|1|1|tbtA|tbtA|efflux|multidrug_efflux_RND_transporter_periplasmic_adaptor_subunit_TbtA	ABC_efflux	RF0007
5091480|AAD39553.1|1|1|ttgA|ttgA|efflux|toluene_efflux_RND_transporter_periplasmic_adaptor_subunit_TtgA	ABC_efflux	RF0007
157059867|BAF79679.1|1|1|smdA|smdA||multidrug_efflux_ABC_transporter_permease/ATP-binding_subunit_SmdA	ABC_tran	RF0008
157059868|BAF79680.1|1|1|smdB|smdB||multidrug_efflux_ABC_transporter_permease/ATP-binding_subunit_SmdB	ABC_tran	RF0008
15808046|AAL08400.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
30026597|AAP03990.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
30387001|CAD56174.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
30387014|CAD56186.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
402540927|AFQ65076.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
407064638|AFS85685.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
41176|CAA40744.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
440631033|AGC14252.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
44982387|AAS50165.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
499429505|WP_011116969.1|1|1|tetAB_A|tetAB_A||tetracycline_efflux_ABC_transporter_TetAB_subunit_A	ABC_tran	RF0008
499429506|WP_011116970.1|1|1|tetAB_B|tetAB_B|efflux|tetracycline_efflux_ABC_transporter_TetAB_subunit_B	ABC_tran	RF0008
76781988|AAX22079.2|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
83408547|CAJ44959.1|1|1|mchF|mchF||microcin_H47_export_transporter_peptidase/ATP-binding_subunit_MchF	ABC_tran	RF0008
1105502226|WP_071846376.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	Acetyltransf_1	RF0011
491204525|WP_005062866.1|1|1|aac(6')_Acine|aac(6')_Acine|acetyltransferase|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase	Acetyltransf_1	RF0011
638917972|WP_024437351.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	Acetyltransf_1	RF0011
695273112|WP_032495046.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	Acetyltransf_1	RF0011
916601194|WP_051208285.1|1|1|aac(6')_Ia_fam|aac(6')_Ia_fam|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase	Acetyltransf_1	RF0011
1105502226|WP_071846376.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	Acetyltransf_7	RF0014
638917972|WP_024437351.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	Acetyltransf_7	RF0014
695273112|WP_032495046.1|1|1|aacA43|aacA43|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA43	Acetyltransf_7	RF0014
916601194|WP_051208285.1|1|1|aac(6')_Ia_fam|aac(6')_Ia_fam|acetyltransferase|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase	Acetyltransf_7	RF0014
1024365516|WP_063501636.1|1|1|oqxB29|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB29	ACR_tran	RF0017
1028111192|WP_063865404.1|1|1|oqxB10|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB10	ACR_tran	RF0017
1028111196|WP_063865408.1|1|1|oqxB11|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB11	ACR_tran	RF0017
1028111201|WP_063865413.1|1|1|oqxB12|oqxB|efflux|multidrug_efflux_RND_transporter_permease_subunit_OqxB12	ACR_tran	RF0017
