DATASET: NCBI
Family	True_Pos	Res_hits	Rel_Seqs	Precision	Recall
16S_Ribosomal_RNA_Methyltransferase	6	6	14	1.0	0.42857142857142855
AAC3	24	24	44	1.0	0.5454545454545454
AAC3-I	21	21	21	1.0	1.0
AAC6-I	43	47	189	0.9148936170212766	0.2275132275132275
AAC6-Ib	53	53	53	1.0	1.0
AAC6-II	15	15	17	1.0	0.8823529411764706
ABCAntibioticEffluxPump	21	25	48	0.84	0.4375
ABC_tran	47	62	47	0.7580645161290323	1.0
ABC1	0	0	0	N/A	N/A
ABC2_membrane	1	1	1	1.0	1.0
Acetyltransf_1	304	309	304	0.9838187702265372	1.0
Acetyltransf_3	165	165	165	1.0	1.0
Acetyltransf_4	129	129	129	1.0	1.0
Acetyltransf_7	89	93	89	0.956989247311828	1.0
Acetyltransf_8	175	175	175	1.0	1.0
Acetyltransf_9	48	48	48	1.0	1.0
ACR_tran	2	48	2	0.041666666666666664	1.0
Acyltransferase	0	0	0	N/A	N/A
adeA-adeI	0	0	0	N/A	N/A
adeB	0	0	0	N/A	N/A
adeC-adeK-oprM	4	4	4	1.0	1.0
adeR	0	0	0	N/A	N/A
adeS	0	0	0	N/A	N/A
Aminotran_1_2	0	0	0	N/A	N/A
Aminotran_4	0	0	0	N/A	N/A
ANT2	0	0	19	N/A	0.0
ANT3	178	178	191	1.0	0.9319371727748691
ANT4	2	2	10	1.0	0.2
ANT6	6	6	7	1.0	0.8571428571428571
ANT9	5	35	5	0.14285714285714285	1.0
Antibiotic_NAT	24	24	24	1.0	1.0
APH	68	95	68	0.7157894736842105	1.0
APH3	59	62	59	0.9516129032258065	1.0
APH6	5	9	5	0.5555555555555556	1.0
baeR	0	0	0	N/A	N/A
baeS	0	0	0	N/A	N/A
BCII	7	7	7	1.0	1.0
Beta-lactamase	1847	1847	1847	1.0	1.0
Beta-lactamase2	1097	1097	1097	1.0	1.0
BJP	4	6	4	0.6666666666666666	1.0
BlaB	20	21	20	0.9523809523809523	1.0
blaI	1	1	1	1.0	1.0
blaR1	4	4	4	1.0	1.0
CARB-PSE	50	52	50	0.9615384615384616	1.0
CAT	42	42	42	1.0	1.0
CblA	1	1	1	1.0	1.0
CepA	6	6	6	1.0	1.0
Cfr23RibosomalRNAMethyltransferase	2	2	7	1.0	0.2857142857142857
CfxA	12	12	12	1.0	1.0
Chloramphenicol_Acetyltransferase_CAT	88	89	88	0.9887640449438202	1.0
Chloramphenicol_Efflux_Pump	44	44	44	1.0	1.0
Chloramphenicol_Phosphotransferase_CPT	1	1	1	1.0	1.0
ClassA	1017	1017	1017	1.0	1.0
ClassB	337	337	337	1.0	1.0
ClassC-AmpC	831	831	831	1.0	1.0
ClassD	744	744	790	1.0	0.9417721518987342
CMY-LAT-MOX-ACT-MIR-FOX	291	302	291	0.9635761589403974	1.0
CPT	2	2	2	1.0	1.0
CTXM	209	209	209	1.0	1.0
Dala_Dala_lig_C	55	57	55	0.9649122807017544	1.0
Dala_Dala_lig_N	55	57	55	0.9649122807017544	1.0
DHA	27	38	27	0.7105263157894737	1.0
DHFR_1	104	104	104	1.0	1.0
DIM-GIM-SIM	13	13	13	1.0	1.0
emrB	4	11	4	0.36363636363636365	1.0
emrE	1	1	1	1.0	1.0
Erm23SRibosomalRNAMethyltransferase	77	77	88	1.0	0.875
Erm38	1	4	1	0.25	1.0
ErmA	4	4	4	1.0	1.0
ErmB	13	13	13	1.0	1.0
ErmC	15	15	15	1.0	1.0
Exo	1	8	1	0.125	1.0
FAD_binding_2	0	0	0	N/A	N/A
FluoroquinoloneResistantDNATopoisomerase	0	0	0	N/A	N/A
FmrO	0	17	0	0.0	N/A
