NCBI:
Seq_Header	Hmmscan_Family
740619436|WP_038404949.1|1|1|aac(3)-Id|aac(3)-I|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(3)-Id	AAC3-I	MB-RF003
1028080894|WP_063840277.1|1|1|aac(6')-Iad|aac(6')-Iad|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Iad	AAC6-I	MB-RF004
1031994773|WP_064190968.1|1|1|aac(6')-29a|aac(6')-29|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-29a	AAC6-I	MB-RF004
1031994774|WP_064190969.1|1|1|aac(6')-29b|aac(6')-29|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-29b	AAC6-I	MB-RF004
1032611793|WP_064239013.1|1|1|aac(6')-Iak|aac(6')-Iak|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Iak	AAC6-I	MB-RF004
1102724733|WP_071593229.1|1|1|aac(6')-If|aac(6')-If|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-If	AAC6-I	MB-RF004
1105502159|WP_071846310.1|1|1|aac(6')-Iz|aac(6')-Iz|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Iz	AAC6-I	MB-RF004
1105502183|WP_071846333.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
1105502203|WP_071846353.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
488218587|WP_002289795.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
488222361|WP_002293569.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
488222781|WP_002293989.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
488256966|WP_002328174.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
488268538|WP_002339746.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
488302933|WP_002373947.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
490908402|WP_004770322.1|1|1|aacA-ACI5|aacA-ACI5|acetyltransferase|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase	AAC6-I	MB-RF004
491075553|WP_004937175.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
491553069|WP_005410660.1|1|1|aac(6')-Iz|aac(6')-Iz|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Iz	AAC6-I	MB-RF004
491560784|WP_005418370.1|1|1|aac(6')-Iak|aac(6')-Iak|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Iak	AAC6-I	MB-RF004
495541242|WP_008265821.1|1|1|aac(6')-Ii|aac(6')_Entco|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Ii	AAC6-I	MB-RF004
498410990|WP_010720790.1|1|1|aac(6')-Iid|aac(6')_Entco|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Iid	AAC6-I	MB-RF004
498415023|WP_010723742.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
498419823|WP_010727362.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
498420626|WP_010728104.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
498431401|WP_010737153.1|1|1|aacA-ENT2|aacA-ENT2|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
498444835|WP_010750427.1|1|1|aac(6')_Entco|aac(6')_Entco|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
501457566|WP_012481011.1|1|1|aac(6')-Iz|aac(6')-Iz|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Iz	AAC6-I	MB-RF004
505192038|WP_015379140.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
514436779|WP_016575755.1|1|1|aac(6')-Isa|aac(6')_Strep|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Isa	AAC6-I	MB-RF004
514902502|WP_016628216.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
515496910|WP_016930164.1|1|1|aac(6')-Ial|aac(6')_Serra|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Ial	AAC6-I	MB-RF004
545149714|WP_021505085.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
639458212|WP_024635824.1|1|1|aacA-ENT1|aacA-ENT1|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
644365341|WP_025304332.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
663407871|WP_030403494.1|1|1|aacA-STR-7|aacA-STR-7|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
664569945|WP_031084431.1|1|1|aacA-STR-7|aacA-STR-7|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
702800658|WP_033268654.1|1|1|aac(6')_Strep|aac(6')_Strep|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
727159600|WP_033632034.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
727165197|WP_033636082.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
727172415|WP_033639326.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
727182101|WP_033644545.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
727187183|WP_033649026.1|1|1|aac(6')-Ic|aac(6')_Serra|acetyltransferase|aminoglycoside_N-acetyltransferase_AAC(6')-Ic	AAC6-I	MB-RF004
727189478|WP_033651281.1|1|1|aac(6')_Serra|aac(6')_Serra|acetyltransferase|aminoglycoside_6'-N-acetyltransferase	AAC6-I	MB-RF004
