Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gb|13384-14226	blaOXA-58	carbapenem-hydrolyzing class D beta-lactamase OXA-58	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	280	280	100.00	100.00	280	WP_002002480.1	carbapenem-hydrolyzing class D beta-lactamase OXA-58	NF000500.2	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
gb|AAA03550.1|ARO:3002523|AAC(2')-Ia	aac(2')-Ia	aminoglycoside N-acetyltransferase AAC(2')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/TOBRAMCYIN	EXACTP	178	178	100.00	100.00	178	WP_004918308.1	aminoglycoside N-acetyltransferase AAC(2')-Ia	NF000108.1	aminoglycoside N-acetyltransferase AAC(2')-Ia
gb|AAA16194.1|ARO:3002540|AAC(3)-VIa	aac(3)-VIa	aminoglycoside N-acetyltransferase AAC(3)-VIa	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	299	299	100.00	100.00	299	WP_063840273.1	aminoglycoside N-acetyltransferase AAC(3)-VIa	NF033612.0	aminoglycoside N-acetyltransferase AAC(3)-VIa
gb|AAA16527.1|ARO:3002630|ANT(9)-Ia	ant(9)-Ib	aminoglycoside nucleotidyltransferase ANT(9)-Ib	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	EXACTP	255	255	100.00	100.00	255	WP_063840673.1	aminoglycoside nucleotidyltransferase ANT(9)-Ib	NF012212.0	ANT(9) family aminoglycoside nucleotidyltransferase
gb|AAA19882.1|ARO:3003562|blaF	blaF	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	294	294	100.00	100.00	294	WP_063842628.1	class A beta-lactamase	NF033103.1	class A beta-lactamase
gb|AAA20116.1|ARO:3000180|tetA(P)	tetA(P)	tetracycline efflux MFS transporter TetA(P)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	420	420	100.00	100.00	420	WP_012478244.1	tetracycline efflux MFS transporter TetA(P)	NF000043.1	tetracycline efflux MFS transporter TetA(P)
gb|AAA20117.1|ARO:3000195|tetB(P)	tetB(P)	tetracycline resistance ribosomal protection protein TetB(P)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	652	652	100.00	100.00	652	WP_012478245.1	tetracycline resistance ribosomal protection protein TetB(P)	NF012153.1	tetracycline resistance ribosomal protection protein
gb|AAA21532.1|ARO:3003559|cepA	cepA	CepA family class A extended-spectrum beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	EXACTP	300	300	100.00	100.00	300	WP_005795628.1	CepA family class A extended-spectrum beta-lactamase	NF033102.1	CepA family class A extended-spectrum beta-lactamase
gb|AAA21889.1|ARO:3002554|AAC(6')-Ig	aac(6')-Ig	aminoglycoside N-acetyltransferase AAC(6')-Ig	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	ALLELEP	145	145	100.00	100.00	145	WP_005081764.1	aminoglycoside N-acetyltransferase AAC(6')-Ig	NF000224.3	AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase
gb|AAA22081.1|ARO:3004451|Agrobacterium	catB1	type B-1 chloramphenicol O-acetyltransferase CatB1	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	209	209	100.00	100.00	209	WP_010974114.1	type B-1 chloramphenicol O-acetyltransferase CatB1	NF000490.1	type B chloramphenicol O-acetyltransferase
gb|AAA22289.1|ARO:3002672|Bacillus	cat86	type A-6 chloramphenicol O-acetyltransferase Cat86	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	220	220	100.00	100.00	220	WP_050945244.1	type A-6 chloramphenicol O-acetyltransferase Cat86	NF000491.1	type A chloramphenicol O-acetyltransferase
gb|AAA22562.1|ARO:3002878|BcII	bla2	BcII family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	EXACTP	256	256	100.00	100.00	256	WP_000799232.1	BcII family subclass B1 metallo-beta-lactamase	NF033095.1	BcII family subclass B1 metallo-beta-lactamase
gb|AAA22597.1|ARO:3000495|ErmD	erm(D)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(D)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	287	287	100.00	100.00	287	WP_063844769.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(D)	NF000499.1	23S ribosomal RNA methyltransferase Erm
gb|AAA22851.1|ARO:3000179|tet(L)	tet(L)	tetracycline efflux MFS transporter Tet(L)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	458	458	100.00	100.00	458	WP_063856080.1	tetracycline efflux MFS transporter Tet(L)	NF012185.0	tetracycline efflux MFS transporter Tet(L)
gb|AAA22904.1|ARO:3000578|CcrA	cfiA13	subclass B1 metallo-beta-lactamase CcrA	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	249	249	100.00	100.00	249	WP_005808062.1	subclass B1 metallo-beta-lactamase CcrA	NF000322.2	CcrA family subclass B1 metallo-beta-lactamase
gb|AAA23018.1|ARO:3004454|Campylobacter	catA13	type A-13 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	207	207	100.00	100.00	207	WP_040564913.1	type A-13 chloramphenicol O-acetyltransferase	NF000491.1	type A chloramphenicol O-acetyltransferase
gb|AAA23033.2|ARO:3000190|tetO	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_002779752.1	tetracycline resistance ribosomal protection protein Tet(O)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
gb|AAA23215.1|ARO:3002687|catQ	catA16	type A-16 chloramphenicol O-acetyltransferase CatQ	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	219	219	100.00	100.00	219	WP_063843220.1	type A-16 chloramphenicol O-acetyltransferase CatQ	NF000491.1	type A chloramphenicol O-acetyltransferase
gb|AAA24786.1|ARO:3000368|vanC	vanC	D-alanine--D-serine ligase VanC1	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	343	343	100.00	100.00	343	WP_029487031.1	D-alanine--D-serine ligase VanC1	NF012213.0	D-alanine--D-serine ligase VanC1
gb|AAA25053.1|ARO:3000884|TEM-12	blaTEM-12	class A extended-spectrum beta-lactamase TEM-12	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	286	286	100.00	100.00	286	WP_042065300.1	class A extended-spectrum beta-lactamase TEM-12	NF000531.2	TEM family class A beta-lactamase
gb|AAA25293.1|ARO:3000192|tetS	tet(S)	tetracycline resistance ribosomal protection protein Tet(S)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	641	641	100.00	100.00	641	WP_000691722.1	tetracycline resistance ribosomal protection protein Tet(S)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
gb|AAA25334.1|ARO:3002543|AAC(3)-IXa	aac(3)-IXa	aminoglycoside N-acetyltransferase AAC(3)-IXa	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	281	281	100.00	100.00	281	WP_063840269.1	aminoglycoside N-acetyltransferase AAC(3)-IXa	NF033082.0	aminoglycoside 3-N-acetyltransferase
gb|AAA25550.1|ARO:3003105|dfrA3	dfrA3	trimethoprim-resistant dihydrofolate reductase DfrA3	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	162	162	100.00	100.00	162	WP_063844403.1	trimethoprim-resistant dihydrofolate reductase DfrA3	NF000019.2	trimethoprim-resistant dihydrofolate reductase DfrA3
gb|AAA25655.1|ARO:3004657|catA4	catA	type A-4 chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTP	217	217	100.00	100.00	217	WP_063843208.1	type A-4 chloramphenicol O-acetyltransferase	NF000491.1	type A chloramphenicol O-acetyltransferase
gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	aac(6')-IIb	aminoglycoside N-acetyltransferase AAC(6')-IIb	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	ALLELEP	180	180	100.00	100.00	180	WP_063840276.1	aminoglycoside N-acetyltransferase AAC(6')-IIb	NF012165.0	aminoglycoside 6'-N-acetyltransferase
gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	aac(3)-IIIc	aminoglycoside N-acetyltransferase AAC(3)-IIIc	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN	EXACTP	279	279	100.00	100.00	279	WP_063840263.1	aminoglycoside N-acetyltransferase AAC(3)-IIIc	NF033082.0	aminoglycoside 3-N-acetyltransferase
