Accession	family	query_name	Resfams_description
RF0046	CblA	gb|ACT97415.1|ARO:3002999|CblA-1	CblA cephalosporin (class a) [ARO:3001209]	711.1
RF0053	ClassA	gb|ACT97415.1|ARO:3002999|CblA-1	Class A beta-lactamase [ARO:3000078]	267.7
RF0039	Beta-lactamase2	gb|ACT97415.1|ARO:3002999|CblA-1	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	124.1
RF0038	Beta-lactamase	gb|ACT97415.1|ARO:3002999|CblA-1	PF00144.19 Beta-lactamase [ARO:3000001]	37.5
RF0119	SHV-LEN	gb|AEJ08681.1|ARO:3001109|SHV-52	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	662.3
RF0053	ClassA	gb|AEJ08681.1|ARO:3001109|SHV-52	Class A beta-lactamase [ARO:3000078]	425.6
RF0039	Beta-lactamase2	gb|AEJ08681.1|ARO:3001109|SHV-52	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	126.4
RF0038	Beta-lactamase	gb|AEJ08681.1|ARO:3001109|SHV-52	PF00144.19 Beta-lactamase [ARO:3000001]	113.3
RF0063	DHFR_1	gb|AAD01868.1|ARO:3002867|dfrF	PF00186.14 Dihydrofolate reductase [ARO:3000745]	158.7
RF0059	CTXM	gb|AFJ59957.1|ARO:3001989|CTX-M-130	CTX-M beta-lactamase (class a) [ARO:3000016]	625.8
RF0053	ClassA	gb|AFJ59957.1|ARO:3001989|CTX-M-130	Class A beta-lactamase [ARO:3000078]	427.0
RF0039	Beta-lactamase2	gb|AFJ59957.1|ARO:3001989|CTX-M-130	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	144.5
RF0038	Beta-lactamase	gb|AFJ59957.1|ARO:3001989|CTX-M-130	PF00144.19 Beta-lactamase [ARO:3000001]	117.6
RF0108	NDM-CcrA	gb|AEX08599.1|ARO:3002356|NDM-6	A grouping of related NDM and CcrA beta-lactamases [ARO:3000057;ARO:3000578]	365.4
RF0123	SubclassB1	gb|AEX08599.1|ARO:3002356|NDM-6	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	290.1
RF0054	ClassB	gb|AEX08599.1|ARO:3002356|NDM-6	Class B beta-lactamase [ARO:3000004]	251.1
RF0085	Lactamase_B	gb|AEX08599.1|ARO:3002356|NDM-6	PF00753.22 Metallo-beta-lactamase superfamily [ARO:3000004]	47.6
RF0124	SubclassB2	gb|AEX08599.1|ARO:3002356|NDM-6	Subclass B2 (metallo-) beta-lactamase selectively hydrolize carbapenems [ARO:3000570]	42.3
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|BAP68758.1|ARO:3001855|ACT-35	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	716.0
RF0055	ClassC-AmpC	gb|BAP68758.1|ARO:3001855|ACT-35	Class C beta-lactamases [ARO:3000076;ARO:3000019]	630.4
RF0038	Beta-lactamase	gb|BAP68758.1|ARO:3001855|ACT-35	PF00144.19 Beta-lactamase [ARO:3000001]	294.2
RF0044	CARB-PSE	gb|AAF61417.1|ARO:3002244|CARB-5	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	539.3
RF0053	ClassA	gb|AAF61417.1|ARO:3002244|CARB-5	Class A beta-lactamase [ARO:3000078]	388.7
