Accession	family	query_name	Resfams_description	Ontology_Level
MB-RF129	TetA	DLFM01_00002|AB95_MIN_1|gene-2|+|273-1472|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
MB-RF034	ClassA	DLFM01_00007|HG1_CAR_8|gene-4|-|2637-3509|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF129	TetA	DLFM01_00039|AB95_TET_2|gene-2|+|809-1984|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
MB-RF013	ANT2	DLFM01_00042|AB95_SIS_5|gene-3|+|987-1583|complete	Aminoglycoside Nucleotidyltransferase (ANT2) [ARO:3000230]	gene
MB-RF030	CARB	DLFM01_00054|AB95_PIP_68|gene-1|-|13-1155|complete	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	family
MB-RF036	ClassC-AmpC	DLFM01_00056|AB95_PIP_67|gene-2|-|480-1655|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF034	ClassA	DLFM01_00058|AB95_PIP_64|gene-2|-|505-1392|complete	Class A beta-lactamase [ARO:3000078]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM01_00059|AB95_PIP_62|gene-2|+|287-1441|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF036	ClassC-AmpC	DLFM01_00060|AB95_PIP_30|gene-2|-|191-1327|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF036	ClassC-AmpC	DLFM01_00061|AB95_PIP_66|gene-2|+|701-1840|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	DLFM01_00082|AB95_PEN_83|gene-2|-|231-1337|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	family
MB-RF049	DHA	DLFM01_00083|AB95_PEN_95|gene-2|-|216-1355|complete	DHA beta-lactamase (class c) [ARO:3000068]	gene
MB-RF036	ClassC-AmpC	DLFM01_00086|AB95_PEN_98|gene-2|+|582-1664|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
MB-RF036	ClassC-AmpC	DLFM01_00088|AB95_PEN_94|gene-2|+|523-1677|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
