Accession	family	query_name	Resfams_description
MB-RF031	CblA	gb|ACT97415.1|ARO:3002999|CblA-1	CblA beta-lactamases (class a)	711.1
MB-RF034	ClassA	gb|ACT97415.1|ARO:3002999|CblA-1	Class A beta-lactamase [ARO:3000078]	251.4
MB-RF115	SHV	gb|AEJ08681.1|ARO:3001109|SHV-52	SHV related beta-lactamase (class a)	663.4
MB-RF114	SHV-LEN	gb|AEJ08681.1|ARO:3001109|SHV-52	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	658.9
MB-RF113	SHV-LEN-OKP	gb|AEJ08681.1|ARO:3001109|SHV-52	A grouping of the related SHV, LEN, and OKP beta-lactamases (class a) [ARO:3000096]	654.6
MB-RF034	ClassA	gb|AEJ08681.1|ARO:3001109|SHV-52	Class A beta-lactamase [ARO:3000078]	461.9
MB-RF048	CTX-M	gb|AFJ59957.1|ARO:3001989|CTX-M-130	CTX-M beta-lactamase (class a) [ARO:3000016]	626.6
MB-RF034	ClassA	gb|AFJ59957.1|ARO:3001989|CTX-M-130	Class A beta-lactamase [ARO:3000078]	400.5
MB-RF090	NDM-CcrA	gb|AEX08599.1|ARO:3002356|NDM-6	A grouping of related NDM and CcrA beta-lactamases [ARO:3000057;ARO:3000578]	339.8
MB-RF123	SubclassB1	gb|AEX08599.1|ARO:3002356|NDM-6	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000568]	300.1
MB-RF035	ClassB	gb|AEX08599.1|ARO:3002356|NDM-6	Class B beta-lactamase [ARO:3000004]	241.5
MB-RF044	ACT	gb|BAP68758.1|ARO:3001855|ACT-35	ACT betalactamase (class C) [ARO:3000072]	876.3
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	gb|BAP68758.1|ARO:3001855|ACT-35	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	663.3
MB-RF036	ClassC-AmpC	gb|BAP68758.1|ARO:3001855|ACT-35	Class C beta-lactamases [ARO:3000076;ARO:3000019]	635.0
MB-RF030	CARB	gb|AAF61417.1|ARO:3002244|CARB-5	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	480.5
MB-RF034	ClassA	gb|AAF61417.1|ARO:3002244|CARB-5	Class A beta-lactamase [ARO:3000078]	369.0
MB-RF058	ErmC	gb|AAP74657.1|ARO:3000600|Erm(34)	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	281.0
MB-RF055	Erm23SRibosomalRNAMethyltransferase	gb|AAP74657.1|ARO:3000600|Erm(34)	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	273.9
MB-RF127	TEM	gb|AAT45742.1|ARO:3000988|TEM-126	TEM beta-lactamase (class a) [ARO:3000014]	668.9
MB-RF034	ClassA	gb|AAT45742.1|ARO:3000988|TEM-126	Class A beta-lactamase [ARO:3000078]	471.0
MB-RF071	LRA-B	gb|ACH58990.1|ARO:3002511|LRA-12	LRA beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000852]	486.6
MB-RF070	LRA	gb|ACH58990.1|ARO:3002511|LRA-12	Beta-lactamases that are part of the LRA gene family) [ARO:3004228]	461.3
MB-RF125	SubclassB3	gb|ACH58990.1|ARO:3002511|LRA-12	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems" [ARO:3000571]	267.6
MB-RF035	ClassB	gb|ACH58990.1|ARO:3002511|LRA-12	Class B beta-lactamase [ARO:3000004]	186.7
MB-RF034	ClassA	gb|ACH58990.1|ARO:3002511|LRA-12	Class A beta-lactamase [ARO:3000078]	85.5
MB-RF127	TEM	gb|AAF19151.1|ARO:3000938|TEM-72	TEM beta-lactamase (class a) [ARO:3000014]	667.8
