Accession	family	query_name	Resfams_description	Ontology_Level
NF012174.0	tet_MFS_A_B_C_D	DLFM01_00002|AB95_MIN_1|gene-2|+|273-1472|complete	tet_MFS_A_B_C_D: Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	variant
NF033103.1	bla_class_A	DLFM01_00007|HG1_CAR_8|gene-4|-|2637-3509|complete	bla_class_A: class A beta-lactamase	family
NF000491.1	chloram_CatA	DLFM01_00009|HG1_CHL_2|gene-2|-|635-1282|complete	chloram_CatA: type A chloramphenicol O-acetyltransferase	gene
NF012174.0	tet_MFS_A_B_C_D	DLFM01_00039|AB95_TET_2|gene-2|+|809-1984|complete	tet_MFS_A_B_C_D: Tet(A)/Tet(B)/Tet(C) family tetracycline efflux MFS transporter	variant
NF000064.3	ANT_2pp_Ia	DLFM01_00042|AB95_SIS_5|gene-3|+|987-1583|complete	ANT_2pp_Ia: aminoglycoside nucleotidyltransferase ANT(2'')-Ia	variant
NF000294.1	Sul1	DLFM01_00042|AB95_SIS_5|gene-5|+|2055-2912|complete	Sul1: sulfonamide-resistant dihydropteroate synthase Sul1	variant
NF000480.2	PSE	DLFM01_00054|AB95_PIP_68|gene-1|-|13-1155|complete	PSE: PSE family carbenicillin-hydrolyzing class A beta-lactamase	gene
NF033085.1	bla_class_C	DLFM01_00056|AB95_PIP_67|gene-2|-|480-1655|complete	bla_class_C: class C beta-lactamase	family
NF033103.1	bla_class_A	DLFM01_00058|AB95_PIP_64|gene-2|-|505-1392|complete	bla_class_A: class A beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00059|AB95_PIP_62|gene-2|+|287-1441|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00060|AB95_PIP_30|gene-2|-|191-1327|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00061|AB95_PIP_66|gene-2|+|701-1840|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00082|AB95_PEN_83|gene-2|-|231-1337|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00083|AB95_PEN_95|gene-2|-|216-1355|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00086|AB95_PEN_98|gene-2|+|582-1664|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00088|AB95_PEN_94|gene-2|+|523-1677|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00089|AB95_PEN_88|gene-3|+|922-2058|complete	bla_class_C: class C beta-lactamase	family
NF000219.1	FloR	DLFM01_00132|AB95_CHL_13|gene-2|-|193-1407|complete	FloR: chloramphenicol/florfenicol efflux MFS transporter FloR	gene
NF033074.0	AAC_6p_Ib	DLFM01_00133|AB95_CHL_21|gene-1|-|1-519|complete	AAC_6p_Ib: AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	variant
NF000490.1	chloram_CatB	DLFM01_00133|AB95_CHL_21|gene-2|-|661-1293|complete	chloram_CatB: type B chloramphenicol O-acetyltransferase	gene
NF033085.1	bla_class_C	DLFM01_00146|AB95_CAR_52|gene-1|+|147-1283|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00147|AB95_CAR_62|gene-2|-|355-1491|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00148|AB95_CAR_58|gene-2|-|289-1425|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00152|AB95_CAR_42|gene-4|-|1599-2699|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00175|AB95_AMX_61|gene-2|+|764-1900|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00178|AB95_AMX_59|gene-1|+|272-1426|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00179|AB95_AMX_63|gene-2|+|313-1467|complete	bla_class_C: class C beta-lactamase	family
NF033085.1	bla_class_C	DLFM01_00179|AB95_AMX_63|gene-3|-|1596-2750|complete	bla_class_C: class C beta-lactamase	family
NF033148.1	tet_protect_M_W	DLFM05_00002|F6_TET_1|gene-3|+|1651-3570|complete	tet_protect_M_W: TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein	family
NF012099.1	SubclassA2	DLFM05_00003|F6_PIP_27|gene-3|+|1276-2184|complete	SubclassA2: class A beta-lactamase, subclass A2	family
NF012099.1	SubclassA2	DLFM05_00004|F6_CAZ_1|gene-3|+|1330-2238|complete	SubclassA2: class A beta-lactamase, subclass A2	family
NF012099.1	SubclassA2	DLFM05_00005|F6_CTX_1|gene-3|-|1200-2108|complete	SubclassA2: class A beta-lactamase, subclass A2	family
NF000491.1	chloram_CatA	DLFM05_00009|F6_CHL_2|gene-2|+|1348-1971|complete	chloram_CatA: type A chloramphenicol O-acetyltransferase	gene
NF012198.0	MarA_TF	DLFM05_00011|Ecoli-LibraryB_TET_7|gene-3|-|1067-1450|complete	MarA_TF: MDR efflux pump AcrAB transcriptional activator MarA	gene
NF012228.1	RobA_TF	DLFM05_00013|Ecoli-LibraryB_TET_1|gene-5|-|1855-2724|complete	RobA_TF: MDR efflux pump AcrAB transcriptional activator RobA	gene
NF012173.1	CMY2-MIR-ACT-EC	DLFM05_00018|Ecoli-LibraryB_TZP_8|gene-6|-|1924-3057|complete	CMY2-MIR-ACT-EC: CMY2/MIR/ACT/EC family class c beta-lactamase	variant
NF012173.1	CMY2-MIR-ACT-EC	DLFM05_00019|Ecoli-LibraryB_PEN_6|gene-5|+|2815-3948|complete	CMY2-MIR-ACT-EC: CMY2/MIR/ACT/EC family class c beta-lactamase	variant
NF012173.1	CMY2-MIR-ACT-EC	DLFM05_00020|Ecoli-LibraryB_CAZ_1|gene-1|+|111-1244|complete	CMY2-MIR-ACT-EC: CMY2/MIR/ACT/EC family class c beta-lactamase	variant
