gb|13384-14226	MB-RF037|MB-RF093|MB-RF099
gb|AAA16194.1|ARO:3002540|AAC(3)-VIa	MB-RF002|MB-RF003|MB-RF011
gb|AAA16527.1|ARO:3002630|ANT(9)-Ia	MB-RF011|MB-RF012|MB-RF017
gb|AAA19882.1|ARO:3003562|blaF	MB-RF034
gb|AAA20116.1|ARO:3000180|tetA(P)	MB-RF086|MB-RF129|MB-RF142
gb|AAA20117.1|ARO:3000195|tetB(P)	MB-RF143
gb|AAA21532.1|ARO:3003559|cepA	MB-RF034
gb|AAA21889.1|ARO:3002554|AAC(6')-Ig	MB-RF004|MB-RF011
gb|AAA22277.1|ARO:3003007|bmr	MB-RF086|MB-RF142|MB-RF145
gb|AAA22562.1|ARO:3002878|BcII	MB-RF024|MB-RF035|MB-RF123
gb|AAA22597.1|ARO:3000495|ErmD	MB-RF055|MB-RF058
gb|AAA22851.1|ARO:3000179|tet(L)	MB-RF086|MB-RF142|MB-RF145
gb|AAA22904.1|ARO:3000578|CcrA	MB-RF035|MB-RF090|MB-RF123
gb|AAA23033.2|ARO:3000190|tetO	MB-RF137|MB-RF140|MB-RF140|MB-RF137|MB-RF142|MB-RF143
gb|AAA24786.1|ARO:3000368|vanC	MB-RF149
gb|AAA25053.1|ARO:3000884|TEM-12	MB-RF034|MB-RF127
gb|AAA25293.1|ARO:3000192|tetS	MB-RF141|MB-RF137|MB-RF141|MB-RF137|MB-RF142|MB-RF143
gb|AAA25334.1|ARO:3002543|AAC(3)-IXa	MB-RF002|MB-RF003|MB-RF011
gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	MB-RF005|MB-RF011|MB-RF004
gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	MB-RF002|MB-RF003|MB-RF011
gb|AAA25717.1|ARO:3002624|ANT(4')-IIa	MB-RF011|MB-RF012|MB-RF015
gb|AAA26057.1|ARO:3002693|cmlA1	MB-RF086|MB-RF142|MB-RF145
gb|AAA26412.1|ARO:3002642|APH(3')-Ib	MB-RF011|MB-RF018
gb|AAA26548.1|ARO:3002534|AAC(3)-IIb	MB-RF002|MB-RF003|MB-RF011
gb|AAA26549.1|ARO:3002549|AAC(6')-Ic	MB-RF004|MB-RF011
gb|AAA26684.1|ARO:3002829|vgaA	MB-RF006
gb|AAA26685.1|ARO:3002542|AAC(3)-VIIIa	MB-RF002|MB-RF003|MB-RF011
gb|AAA26699.1|ARO:3002649|APH(3')-Va	MB-RF011|MB-RF018|MB-RF020
gb|AAA26742.1|ARO:3001304|ErmS	MB-RF055|MB-RF058
gb|AAA26775.1|ARO:3003564|EXO	MB-RF034
gb|AAA26779.1|ARO:3004652|Erm(O)-lrm	MB-RF055|MB-RF058
gb|AAA26832.1|ARO:3002827|tlrC	MB-RF006
gb|AAA27471.1|ARO:3000205|tetX	MB-RF128|MB-RF144
gb|AAA50325.1|ARO:3003036|oleB	MB-RF006
gb|AAA65953.1|ARO:3002919|vanRA	MB-RF152
gb|AAA65954.1|ARO:3002931|vanSA	MB-RF153|MB-RF060
gb|AAA65955.1|ARO:3002942|vanHA	MB-RF151
gb|AAA65956.1|ARO:3000010|vanA	MB-RF147
gb|AAA65957.1|ARO:3002949|vanXA	MB-RF156
gb|AAA65958.1|ARO:3002955|vanYA	MB-RF157
gb|AAA65959.1|ARO:3002962|vanZA	MB-RF158
gb|AAA71915.1|ARO:3000173|tet(E)	MB-RF086|MB-RF086|MB-RF133|MB-RF142|MB-RF142|MB-RF133
gb|AAA74437.1|ARO:3000378|MexB	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108
gb|AAA76822.1|ARO:3002654|APH(3')-VIIa	MB-RF011|MB-RF018|MB-RF020
gb|AAA83417.1|ARO:3001407|OXA-12	MB-RF037|MB-RF093|MB-RF096
gb|AAA87176.1|ARO:3001066|SHV-7	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAA87229.1|ARO:3002558|AAC(6')-Ik	MB-RF004|MB-RF011
gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF002|MB-RF003|MB-RF011
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	MB-RF004|MB-RF011|MB-RF018
gb|AAA88552.1|ARO:3002541|AAC(3)-VIIa	MB-RF002|MB-RF003|MB-RF011
gb|AAA88675.1|ARO:3000498|ErmF	MB-RF055|MB-RF058
gb|AAA93461.1|ARO:3001858|IMI-1	MB-RF034|MB-RF062
gb|AAA93528.1|ARO:3001409|OXA-14	MB-RF037|MB-RF093|MB-RF094
gb|AAA98096.1|ARO:3000595|ErmT	MB-RF055|MB-RF058
gb|AAA98296.1|ARO:3000250|ErmC	MB-RF055|MB-RF058
gb|AAA98298.1|ARO:3002545|AAC(6')-Ia	MB-RF004|MB-RF011
gb|AAA98406.1|ARO:3001404|OXA-9	MB-RF037|MB-RF093|MB-RF096
gb|AAA98484.1|ARO:3000596|ErmX	MB-RF055|MB-RF058
gb|AAB03413.1|ARO:3003099|cphA2	MB-RF035|MB-RF124|MB-RF035|MB-RF112|MB-RF124
gb|AAB05622.1|ARO:3002921|vanRB	MB-RF152
gb|AAB05623.1|ARO:3002932|vanSB	MB-RF153
gb|AAB05624.1|ARO:3002956|vanYB	MB-RF157
gb|AAB05625.1|ARO:3002964|vanWB	MB-RF155
gb|AAB05626.1|ARO:3002943|vanHB	MB-RF151
gb|AAB05628.1|ARO:3002950|vanXB	MB-RF156
gb|AAB05874.1|ARO:3001410|OXA-15	MB-RF037|MB-RF093|MB-RF097
gb|AAB17891.1|ARO:3003001|CfxA	MB-RF033|MB-RF034
gb|AAB19430.2|ARO:3002242|CARB-3	MB-RF030|MB-RF034
gb|AAB21326.1|ARO:3002651|APH(3')-Vc	MB-RF011|MB-RF018|MB-RF020
gb|AAB28795.1|ARO:3000178|tet(K)	MB-RF086|MB-RF142
gb|AAB37395.2|ARO:3001068|SHV-9	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAB39956.1|ARO:3000979|TEM-116	MB-RF034|MB-RF127
gb|AAB41059.1|ARO:3002884|iri	MB-RF128
gb|AAB41956.1|ARO:3000800|MexC	MB-RF006|MB-RF072|MB-RF082|MB-RF086|MB-RF108
gb|AAB41957.1|ARO:3000801|MexD	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108
gb|AAB41958.1|ARO:3000802|OprJ	MB-RF006|MB-RF009|MB-RF072|MB-RF086|MB-RF108
gb|AAB51384.1|ARO:3001067|SHV-8	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|AAB51440.1|ARO:3002824|ErmV	MB-RF055|MB-RF058
gb|AAB58160.1|ARO:3003009|ceoA	MB-RF006|MB-RF072|MB-RF086
gb|AAB58161.1|ARO:3003010|ceoB	MB-RF006|MB-RF072|MB-RF085|MB-RF086|MB-RF108|MB-RF085|MB-RF108
gb|AAB58555.1|ARO:3001413|OXA-18	MB-RF037|MB-RF093|MB-RF096
gb|AAB59082.1|ARO:3001397|OXA-2	MB-RF037|MB-RF093|MB-RF097
gb|AAB63533.1|ARO:3002556|AAC(6')-Ii	MB-RF004|MB-RF011
gb|AAB81957.1|ARO:3004784|FAR-1	MB-RF034
gb|AAB84282.1|ARO:3000181|tet(V)	MB-RF086|MB-RF145
gb|AAB95639.1|ARO:3000118|vgaB	MB-RF006
gb|AAB97924.1|ARO:3001411|OXA-16	MB-RF037|MB-RF093|MB-RF094
gb|AAC05975.1|ARO:3000929|TEM-60	MB-RF034|MB-RF127
gb|AAC09012.1|ARO:3002243|CARB-4	MB-RF030|MB-RF034
gb|AAC09015.1|ARO:3002481|AER-1	MB-RF030|MB-RF034
gb|AAC14693.1|ARO:3002637|APH(2'')-IVa	MB-RF011|MB-RF004
gb|AAC14728.1|ARO:3002603|aadA3	MB-RF011|MB-RF012|MB-RF014
gb|AAC15074.1|ARO:3001412|OXA-17	MB-RF037|MB-RF093|MB-RF094
gb|AAC23556.1|ARO:3002660|APH(6)-Id	MB-RF011|MB-RF021
gb|AAC25500.1|ARO:3002560|AAC(6')-Iq	MB-RF004|MB-RF011
gb|AAC32025.1|ARO:3002650|APH(3')-Vb	MB-RF011|MB-RF018|MB-RF020
gb|AAC32026.1|ARO:3002823|ErmH	MB-RF055|MB-RF058
gb|AAC32027.1|ARO:3002817|carA	MB-RF006
gb|AAC32889.2|ARO:3000912|TEM-43	MB-RF034|MB-RF127
gb|AAC32890.1|ARO:3001868|CTX-M-5	MB-RF034|MB-RF048
gb|AAC32891.1|ARO:3000898|TEM-28	MB-RF034|MB-RF127
gb|AAC36883.1|ARO:3000896|TEM-26	MB-RF034|MB-RF127
gb|AAC36915.1|ARO:3000593|ErmQ	MB-RF055|MB-RF058
gb|AAC36944.1|ARO:3003006|blt	MB-RF086|MB-RF142|MB-RF145
gb|AAC37034.1|ARO:3000522|ErmG	MB-RF055|MB-RF058
gb|AAC41391.1|ARO:3002555|AAC(6')-Ih	MB-RF004|MB-RF011
gb|AAC41392.1|ARO:3002557|AAC(6')-Ij	MB-RF004|MB-RF011
gb|AAC41449.1|ARO:3001398|OXA-3	MB-RF037|MB-RF093|MB-RF097
gb|AAC43550.1|ARO:3003967|lrfA	MB-RF086|MB-RF142|MB-RF145
gb|AAC43969.1|ARO:3003037|opcM	MB-RF006|MB-RF009|MB-RF072|MB-RF086|MB-RF108
gb|AAC45086.2|ARO:3001821|ACT-1	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF036
gb|AAC45805.1|ARO:3002702|cmrA	MB-RF086|MB-RF142|MB-RF145
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|AAC46344.1|ARO:3001408|OXA-13	MB-RF037|MB-RF093|MB-RF094
gb|AAC60780.1|ARO:3003049|rosB	MB-RF006|MB-RF010|MB-RF086|MB-RF108
gb|AAC60781.1|ARO:3003048|rosA	MB-RF006|MB-RF010|MB-RF086|MB-RF108
gb|AAC64365.1|ARO:3000230|ANT(2'')-Ia	MB-RF011|MB-RF012|MB-RF013
gb|AAC69327.1|ARO:3000598|Erm(31)	MB-RF055|MB-RF058
gb|AAC69328.1|ARO:3001265|Erm(30)	MB-RF055|MB-RF058
gb|AAC72341.1|ARO:3000182|tet(Y)	MB-RF086|MB-RF131|MB-RF131|MB-RF142|MB-RF142
gb|AAC72362.1|ARO:3000882|TEM-10	MB-RF034|MB-RF127
gb|AAC73564.1|ARO:3000216|acrB	MB-RF006|MB-RF008|MB-RF072|MB-RF086|MB-RF108
