Accession	family	query_name	Resfams_description
RF0126	TEM	1000909371|WP_061158039.1|1|1|blaTEM-156|blaTEM|hydrolase|class_A_beta-lactamase_TEM-156	TEM beta-lactamase (class a) [ARO:3000014]	670.9
RF0053	ClassA	1000909371|WP_061158039.1|1|1|blaTEM-156|blaTEM|hydrolase|class_A_beta-lactamase_TEM-156	Class A beta-lactamase [ARO:3000078]	427.3
RF0039	Beta-lactamase2	1000909371|WP_061158039.1|1|1|blaTEM-156|blaTEM|hydrolase|class_A_beta-lactamase_TEM-156	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	133.5
RF0038	Beta-lactamase	1000909371|WP_061158039.1|1|1|blaTEM-156|blaTEM|hydrolase|class_A_beta-lactamase_TEM-156	PF00144.19 Beta-lactamase [ARO:3000001]	105.0
RF0055	ClassC-AmpC	1001043515|WP_061189306.1|1|1|blaPDC-114|blaPDC|hydrolase|class_C_beta-lactamase_PDC-114	Class C beta-lactamases [ARO:3000076;ARO:3000019]	554.4
RF0038	Beta-lactamase	1001043515|WP_061189306.1|1|1|blaPDC-114|blaPDC|hydrolase|class_C_beta-lactamase_PDC-114	PF00144.19 Beta-lactamase [ARO:3000001]	268.8
RF0055	ClassC-AmpC	1001044756|WP_061190338.1|1|1|blaPDC-226|blaPDC|hydrolase|class_C_beta-lactamase_PDC-226	Class C beta-lactamases [ARO:3000076;ARO:3000019]	556.2
RF0038	Beta-lactamase	1001044756|WP_061190338.1|1|1|blaPDC-226|blaPDC|hydrolase|class_C_beta-lactamase_PDC-226	PF00144.19 Beta-lactamase [ARO:3000001]	268.4
RF0055	ClassC-AmpC	1001048246|WP_061193023.1|1|1|blaPDC-116|blaPDC|hydrolase|class_C_beta-lactamase_PDC-116	Class C beta-lactamases [ARO:3000076;ARO:3000019]	554.6
RF0038	Beta-lactamase	1001048246|WP_061193023.1|1|1|blaPDC-116|blaPDC|hydrolase|class_C_beta-lactamase_PDC-116	PF00144.19 Beta-lactamase [ARO:3000001]	269.2
RF0055	ClassC-AmpC	1001048721|WP_061193431.1|1|1|blaPDC-298|blaPDC|hydrolase|class_C_beta-lactamase_PDC-298	Class C beta-lactamases [ARO:3000076;ARO:3000019]	551.8
RF0038	Beta-lactamase	1001048721|WP_061193431.1|1|1|blaPDC-298|blaPDC|hydrolase|class_C_beta-lactamase_PDC-298	PF00144.19 Beta-lactamase [ARO:3000001]	268.0
RF0055	ClassC-AmpC	1001056857|WP_061196139.1|1|1|blaPDC-97|blaPDC|hydrolase|class_C_beta-lactamase_PDC-97	Class C beta-lactamases [ARO:3000076;ARO:3000019]	554.9
RF0038	Beta-lactamase	1001056857|WP_061196139.1|1|1|blaPDC-97|blaPDC|hydrolase|class_C_beta-lactamase_PDC-97	PF00144.19 Beta-lactamase [ARO:3000001]	269.2
RF0055	ClassC-AmpC	1001067679|WP_061199990.1|1|1|blaPDC-184|blaPDC|hydrolase|class_C_beta-lactamase_PDC-184	Class C beta-lactamases [ARO:3000076;ARO:3000019]	560.7
RF0038	Beta-lactamase	1001067679|WP_061199990.1|1|1|blaPDC-184|blaPDC|hydrolase|class_C_beta-lactamase_PDC-184	PF00144.19 Beta-lactamase [ARO:3000001]	269.0
RF0059	CTXM	1001733947|WP_061284984.1|1|1|blaKLUC-1|blaKLUC|hydrolase|class_A_extended-spectrum_beta-lactamase_KLUC-1	CTX-M beta-lactamase (class a) [ARO:3000016]	585.9
RF0053	ClassA	1001733947|WP_061284984.1|1|1|blaKLUC-1|blaKLUC|hydrolase|class_A_extended-spectrum_beta-lactamase_KLUC-1	Class A beta-lactamase [ARO:3000078]	411.4
RF0039	Beta-lactamase2	1001733947|WP_061284984.1|1|1|blaKLUC-1|blaKLUC|hydrolase|class_A_extended-spectrum_beta-lactamase_KLUC-1	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	142.3
RF0038	Beta-lactamase	1001733947|WP_061284984.1|1|1|blaKLUC-1|blaKLUC|hydrolase|class_A_extended-spectrum_beta-lactamase_KLUC-1	PF00144.19 Beta-lactamase [ARO:3000001]	117.1
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	1004662893|WP_061547590.1|1|1|blaCMY-84|blaCMY|hydrolase|class_C_beta-lactamase_CMY-84	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	772.3
RF0055	ClassC-AmpC	1004662893|WP_061547590.1|1|1|blaCMY-84|blaCMY|hydrolase|class_C_beta-lactamase_CMY-84	Class C beta-lactamases [ARO:3000076;ARO:3000019]	648.7
RF0038	Beta-lactamase	1004662893|WP_061547590.1|1|1|blaCMY-84|blaCMY|hydrolase|class_C_beta-lactamase_CMY-84	PF00144.19 Beta-lactamase [ARO:3000001]	290.9
RF0113	Qnr	1005295249|WP_061586512.1|1|1|qnrE1|qnrE||quinolone_resistance_pentapeptide_repeat_protein_QnrE1	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	340.3
RF0126	TEM	1005563843|WP_061659705.1|1|1|blaTEM-95|blaTEM|hydrolase|class_A_broad-spectrum_beta-lactamase_TEM-95	TEM beta-lactamase (class a) [ARO:3000014]	671.0
RF0053	ClassA	1005563843|WP_061659705.1|1|1|blaTEM-95|blaTEM|hydrolase|class_A_broad-spectrum_beta-lactamase_TEM-95	Class A beta-lactamase [ARO:3000078]	424.7
RF0039	Beta-lactamase2	1005563843|WP_061659705.1|1|1|blaTEM-95|blaTEM|hydrolase|class_A_broad-spectrum_beta-lactamase_TEM-95	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	133.6
RF0038	Beta-lactamase	1005563843|WP_061659705.1|1|1|blaTEM-95|blaTEM|hydrolase|class_A_broad-spectrum_beta-lactamase_TEM-95	PF00144.19 Beta-lactamase [ARO:3000001]	106.3
RF0053	ClassA	1011934720|WP_062743204.1|1|1|blaERP-1|blaERP|hydrolase|class_A_extended-spectrum_beta-lactamase_ERP-1	Class A beta-lactamase [ARO:3000078]	332.0
RF0039	Beta-lactamase2	1011934720|WP_062743204.1|1|1|blaERP-1|blaERP|hydrolase|class_A_extended-spectrum_beta-lactamase_ERP-1	PF13354.1 Beta-lactamase enzyme family [ARO:3000001]	132.4
