CARD:
Seq_Header	Hmmscan_Family
gb|AEA07977.1|ARO:3004641|aacA43	AAC6-I	RF0004
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	AAC6-Ib	RF0005
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	AAC6-Ib	RF0005
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	AAC6-Ib	RF0005
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	AAC6-Ib	RF0005
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	AAC6-Ib	RF0005
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	AAC6-Ib	RF0005
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	AAC6-Ib	RF0005
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	AAC6-Ib	RF0005
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	AAC6-Ib	RF0005
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	AAC6-Ib	RF0005
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	AAC6-Ib	RF0005
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	AAC6-Ib	RF0005
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	AAC6-Ib	RF0005
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	AAC6-Ib	RF0005
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	AAC6-Ib	RF0005
gb|ACB05808.1|ARO:3003109|msrE	ABC_tran	RF0008
gb|CAA45050.1|ARO:3002828|srmB	ABC_tran	RF0008
gb|ABH10964.1|ARO:3002830|vgaALC	ABC_tran	RF0008
gb|AAA99504.1|ARO:3002987|bcrA	ABC_tran	RF0008
gb|AAV85982.1|ARO:3000535|macB	ABC_tran	RF0008
gb|AAA26684.1|ARO:3002829|vgaA	ABC_tran	RF0008
gb|AAC32027.1|ARO:3002817|carA	ABC_tran	RF0008
gb|ABX00624.1|ARO:3002881|lmrC	ABC_tran	RF0008
gb|ACX92986.2|ARO:3002832|vgaD	ABC_tran	RF0008
gb|CAE18141.1|ARO:3003111|lsaB	ABC_tran	RF0008
gb|CAA36304.1|ARO:3000251|msrA	ABC_tran	RF0008
gb|AAF67494.2|ARO:3002522|novA	ABC_tran	RF0008
gb|AAO43110.1|ARO:3000300|lsaA	ABC_tran	RF0008
gb|AAA50325.1|ARO:3003036|oleB	ABC_tran	RF0008
gb|AYV52072.1|ARO:3002882|lmrD	ABC_tran	RF0008
gb|CBY88983.1|ARO:3002833|vgaE	ABC_tran	RF0008
gb|AEA37904.1|ARO:3003112|lsaC	ABC_tran	RF0008
gb|AAB95639.1|ARO:3000118|vgaB	ABC_tran	RF0008
gb|AAR96051.1|ARO:3002894|otrC	ABC_tran	RF0008
gb|AAA26832.1|ARO:3002827|tlrC	ABC_tran	RF0008
gb|AAK01167.1|ARO:3002819|msrC	ABC_tran	RF0008
gb|AAK76137.1|ARO:3000024|patA	ABC_tran	RF0008
gb|AAK76136.1|ARO:3000025|patB	ABC_tran	RF0008
gb|CBL58195.1|ARO:3002831|vgaC	ABC_tran	RF0008
gb|AAA26793|ARO:3003748|oleC	ABC_tran	RF0008
gb|AGN74946|ARO:3003749|salA	ABC_tran	RF0008
gb|AKA86814|ARO:3003746|optrA	ABC_tran	RF0008
gb|NP_862226.1|ARO:3004639|Corynebacterium	ABC_tran	RF0008
gb|XP_753111.1|ARO:3003942|abcA	ABC_tran	RF0008
gb|CDO61513.1|ARO:3003948|efrA	ABC_tran	RF0008
gb|CDO61516.1|ARO:3003949|efrB	ABC_tran	RF0008
gb|AAC74000.1|ARO:3003950|msbA	ABC_tran	RF0008
gb|AEO25219.1|ARO:3004651|lin	ABC_tran	RF0008
gb|AAC75271.1|ARO:3003952|yojI	ABC_tran	RF0008
gb|APB03214.1|ARO:3003980|tetA(48)	ABC_tran	RF0008
gb|APB03219.1|ARO:3003986|TaeA	ABC_tran	RF0008
gb|AHB37625.1|ARO:3004715|vga(E)	ABC_tran	RF0008
gb|SOX29786.1|ARO:3004730|tva(A)	ABC_tran	RF0008
gb|ANZ79241.1|ARO:3004036|tetB(60)	ABC_tran	RF0008
gb|AET10444.1|ARO:3004032|tetA(46)	ABC_tran	RF0008
gb|AET10445.1|ARO:3004033|tetB(46)	ABC_tran	RF0008
gb|ANZ79240.1|ARO:3004035|tetA(60)	ABC_tran	RF0008
gb|AVI44920.1|ARO:3004470|poxtA	ABC_tran	RF0008
gb|NP_388442.1|ARO:3004476|vmlR	ABC_tran	RF0008
gb|XP_753111.1|ARO:3003942|abcA	ABC2_membrane	RF0010
gb|APB03215.1|ARO:3003981|tetB(48)	ABC2_membrane	RF0010
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	Acetyltransf_1	RF0011
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Acetyltransf_1	RF0011
gb|AAD03493.1|ARO:3002565|AAC(6')-Iu	Acetyltransf_1	RF0011
gb|AAA25680.1|ARO:3002595|AAC(6')-IIb	Acetyltransf_1	RF0011
gb|BAH66386.1|ARO:3002574|AAC(6')-Iaf	Acetyltransf_1	RF0011
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	Acetyltransf_1	RF0011
gb|AAK26252.2|ARO:3002583|AAC(6')-29a	Acetyltransf_1	RF0011
gb|AAF03531.1|ARO:3002569|AAC(6')-Iy	Acetyltransf_1	RF0011
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	Acetyltransf_1	RF0011
gb|AAD03491.1|ARO:3002562|AAC(6')-Is	Acetyltransf_1	RF0011
gb|AAA98298.1|ARO:3002545|AAC(6')-Ia	Acetyltransf_1	RF0011
gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	Acetyltransf_1	RF0011
gb|CAA88265.1|ARO:3002898|SAT-3	Acetyltransf_1	RF0011
gb|ACI31326.1|ARO:3002584|AAC(6')-29b	Acetyltransf_1	RF0011
gb|AAC41391.1|ARO:3002555|AAC(6')-Ih	Acetyltransf_1	RF0011
gb|AAC41392.1|ARO:3002557|AAC(6')-Ij	Acetyltransf_1	RF0011
gb|AAD46626.1|ARO:3002596|AAC(6')-IIc	Acetyltransf_1	RF0011
gb|BAD14386.1|ARO:3002573|AAC(6')-Iae	Acetyltransf_1	RF0011
gb|AAR21614.1|ARO:3002529|AAC(3)-Id	Acetyltransf_1	RF0011
gb|AAC44793.1|ARO:3002524|AAC(2')-Ib	Acetyltransf_1	RF0011
gb|AAD03494.1|ARO:3002566|AAC(6')-Iv	Acetyltransf_1	RF0011
gb|CAE48335.2|ARO:3002599|AAC(6')-30/AAC(6')-Ib'	Acetyltransf_1	RF0011
gb|AEZ05106.1|ARO:3002587|AAC(6')-33	Acetyltransf_1	RF0011
gb|BAD10948.2|ARO:3002563|AAC(6')-Isa	Acetyltransf_1	RF0011
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	Acetyltransf_1	RF0011
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	Acetyltransf_1	RF0011
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	Acetyltransf_1	RF0011
gb|BAD11815.1|ARO:3002593|AAC(6')-Ib-SK	Acetyltransf_1	RF0011
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	Acetyltransf_1	RF0011
gb|CAK55557.1|ARO:3002585|AAC(6')-31	Acetyltransf_1	RF0011
gb|AAA21889.1|ARO:3002554|AAC(6')-Ig	Acetyltransf_1	RF0011
gb|CAD53575.1|ARO:3002531|AAC(3)-Ic	Acetyltransf_1	RF0011
gb|AAB63533.1|ARO:3002556|AAC(6')-Ii	Acetyltransf_1	RF0011
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	Acetyltransf_1	RF0011
gb|CCP42991.1|ARO:3002525|AAC(2')-Ic	Acetyltransf_1	RF0011
gb|AAD03495.1|ARO:3002567|AAC(6')-Iw	Acetyltransf_1	RF0011
gb|BAD95494.1|ARO:3002895|SAT-1	Acetyltransf_1	RF0011
gb|AAA26549.1|ARO:3002549|AAC(6')-Ic	Acetyltransf_1	RF0011
gb|AAC25500.1|ARO:3002560|AAC(6')-Iq	Acetyltransf_1	RF0011
gb|AAP43642.1|ARO:3002588|AAC(6')-I30	Acetyltransf_1	RF0011
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	Acetyltransf_1	RF0011
gb|AAB41701.1|ARO:3002526|AAC(2')-Id	Acetyltransf_1	RF0011
gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	Acetyltransf_1	RF0011
gb|ABR10839.1|ARO:3002586|AAC(6')-32	Acetyltransf_1	RF0011
gb|ACI28880.1|ARO:3002575|AAC(6')-Iai	Acetyltransf_1	RF0011
gb|AAB53445.1|ARO:3002897|SAT-4	Acetyltransf_1	RF0011
gb|CAA39038.1|ARO:3002553|AAC(6')-If	Acetyltransf_1	RF0011
gb|CAA91010.1|ARO:3002559|AAC(6')-Ip	Acetyltransf_1	RF0011
gb|AAM92464.1|ARO:3002594|AAC(6')-IIa	Acetyltransf_1	RF0011
gb|AAD03492.1|ARO:3002564|AAC(6')-It	Acetyltransf_1	RF0011
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	Acetyltransf_1	RF0011
gb|AAA03550.1|ARO:3002523|AAC(2')-Ia	Acetyltransf_1	RF0011
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	Acetyltransf_1	RF0011
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	Acetyltransf_1	RF0011
gb|AAD03490.1|ARO:3002561|AAC(6')-Ir	Acetyltransf_1	RF0011
gb|CAE50925.1|ARO:3002589|AAC(6')-Iid	Acetyltransf_1	RF0011
gb|CAE50926.1|ARO:3002590|AAC(6')-Iih	Acetyltransf_1	RF0011
gb|BAO21229.1|ARO:3003199|AAC(6')-Iak	Acetyltransf_1	RF0011
gb|BAD12078.1|ARO:3002572|AAC(6')-Iad	Acetyltransf_1	RF0011
gb|AAD03496.1|ARO:3002568|AAC(6')-Ix	Acetyltransf_1	RF0011
gb|AAA87229.1|ARO:3002558|AAC(6')-Ik	Acetyltransf_1	RF0011
gb|AAD52985.1|ARO:3002570|AAC(6')-Iz	Acetyltransf_1	RF0011
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	Acetyltransf_1	RF0011
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	Acetyltransf_1	RF0011
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	Acetyltransf_1	RF0011
gb|BAM46120.1|ARO:3003677|AAC(6')-Iaj	Acetyltransf_1	RF0011
