Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	288	287	100.00	100.00	287	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NF033084.2	aminoglycoside 6-nucleotidyltransferase
MEG_1001|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	str	streptomycin adenylyltransferase Str	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	283	282	100.00	100.00	282	WP_001258486.1	streptomycin adenylyltransferase Str	NF000062.1	streptomycin adenylyltransferase Str
MEG_1002|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6	aadK	aminoglycoside 6-adenylyltransferase AadK	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	285	284	100.00	100.00	284	WP_003229862.1	aminoglycoside 6-adenylyltransferase AadK	NF000312.1	aminoglycoside 6-adenylyltransferase AadK
MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9	aad9	ANT(9) family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	259	258	100.00	100.00	258	WP_002578722.1	ANT(9) family aminoglycoside nucleotidyltransferase	NF012212.0	ANT(9) family aminoglycoside nucleotidyltransferase
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9	spw	ANT(9) family aminoglycoside nucleotidyltransferase Spw	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	270	269	100.00	100.00	269	WP_002294509.1	ANT(9) family aminoglycoside nucleotidyltransferase Spw	NF012212.0	ANT(9) family aminoglycoside nucleotidyltransferase
MEG_1005|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9	ant(9)-Ib	aminoglycoside nucleotidyltransferase ANT(9)-Ib	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	BLASTP	256	255	100.00	99.61	255	WP_063840673.1	aminoglycoside nucleotidyltransferase ANT(9)-Ib	NF012212.0	ANT(9) family aminoglycoside nucleotidyltransferase
MEG_1006|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9	spd	ANT(9) family aminoglycoside nucleotidyltransferase Spd	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	258	257	100.00	100.00	257	WP_021285909.1	ANT(9) family aminoglycoside nucleotidyltransferase Spd	NF012212.0	ANT(9) family aminoglycoside nucleotidyltransferase
MEG_1007|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9	ant(9)-Ib	aminoglycoside nucleotidyltransferase ANT(9)-Ib	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	BLASTP	251	255	98.04	99.60	250	WP_063840673.1	aminoglycoside nucleotidyltransferase ANT(9)-Ib	NF012212.0	ANT(9) family aminoglycoside nucleotidyltransferase
MEG_1008|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-IIa	aminoglycoside O-phosphotransferase APH(2'')-IIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	300	299	100.00	100.00	299	WP_057038954.1	aminoglycoside O-phosphotransferase APH(2'')-IIa	NF000015.3	aminoglycoside O-phosphotransferase APH(2'')-IIa
MEG_1009|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME	aph(2'')-If	aminoglycoside O-phosphotransferase APH(2'')-If	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	297	296	100.00	100.00	296	WP_063840675.1	aminoglycoside O-phosphotransferase APH(2'')-If	NF000498.2	APH(2'')-If/Ih family aminoglycoside O-phosphotransferase
