Accession	family	query_name	Resfams_description	Ontology_Level
RF0127	TetA	DLFM01_00002|AB95_MIN_1|gene-2|+|273-1472|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
RF0053	ClassA	DLFM01_00007|HG1_CAR_8|gene-4|-|2637-3509|complete	Class A beta-lactamase [ARO:3000078]	family
RF0050	Chlor_Acetyltrans_CAT	DLFM01_00009|HG1_CHL_2|gene-2|-|635-1282|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	family
RF0127	TetA	DLFM01_00039|AB95_TET_2|gene-2|+|809-1984|complete	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	gene
RF0026	ANT2	DLFM01_00042|AB95_SIS_5|gene-3|+|987-1583|complete	Aminoglycoside Nucleotidyltransferase (ANT2) [ARO:3000230]	gene
RF0044	CARB-PSE	DLFM01_00054|AB95_PIP_68|gene-1|-|13-1155|complete	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	family
RF0055	ClassC-AmpC	DLFM01_00056|AB95_PIP_67|gene-2|-|480-1655|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0053	ClassA	DLFM01_00058|AB95_PIP_64|gene-2|-|505-1392|complete	Class A beta-lactamase [ARO:3000078]	family
RF0055	ClassC-AmpC	DLFM01_00059|AB95_PIP_62|gene-2|+|287-1441|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00060|AB95_PIP_30|gene-2|-|191-1327|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00061|AB95_PIP_66|gene-2|+|701-1840|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM01_00082|AB95_PEN_83|gene-2|-|231-1337|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM01_00083|AB95_PEN_95|gene-2|-|216-1355|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0055	ClassC-AmpC	DLFM01_00086|AB95_PEN_98|gene-2|+|582-1664|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00088|AB95_PEN_94|gene-2|+|523-1677|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00089|AB95_PEN_88|gene-3|+|922-2058|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0051	Chlor_Efflux_Pump	DLFM01_00132|AB95_CHL_13|gene-2|-|193-1407|complete	chloramphenicol efflux pump [ARO:3001212]	family
RF0005	AAC6-Ib	DLFM01_00133|AB95_CHL_21|gene-1|-|1-519|complete	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	variant
RF0050	Chlor_Acetyltrans_CAT	DLFM01_00133|AB95_CHL_21|gene-2|-|661-1293|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	variant
RF0055	ClassC-AmpC	DLFM01_00146|AB95_CAR_52|gene-1|+|147-1283|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00147|AB95_CAR_62|gene-2|-|355-1491|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00148|AB95_CAR_58|gene-2|-|289-1425|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00152|AB95_CAR_42|gene-4|-|1599-2699|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00175|AB95_AMX_61|gene-2|+|764-1900|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00178|AB95_AMX_59|gene-1|+|272-1426|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00179|AB95_AMX_63|gene-2|+|313-1467|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00179|AB95_AMX_63|gene-3|-|1596-2750|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0133	TetM-TetW-TetO-TetS	DLFM05_00002|F6_TET_1|gene-3|+|1651-3570|complete	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein" [ARO:3000186;ARO:3000194;ARO:3000190;ARO:3000192]	family
RF0046	CblA	DLFM05_00003|F6_PIP_27|gene-3|+|1276-2184|complete	CblA cephalosporin (class a) [ARO:3001209]	gene
RF0046	CblA	DLFM05_00004|F6_CAZ_1|gene-3|+|1330-2238|complete	CblA cephalosporin (class a) [ARO:3001209]	gene
RF0046	CblA	DLFM05_00005|F6_CTX_1|gene-3|-|1200-2108|complete	CblA cephalosporin (class a) [ARO:3001209]	gene
RF0050	Chlor_Acetyltrans_CAT	DLFM05_00009|F6_CHL_2|gene-2|+|1348-1971|complete	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	family
RF0055	ClassC-AmpC	DLFM05_00014|Ecoli-LibraryB_PIP_8|gene-8|-|3465-4355|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00018|Ecoli-LibraryB_TZP_8|gene-6|-|1924-3057|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00019|Ecoli-LibraryB_PEN_6|gene-5|+|2815-3948|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00020|Ecoli-LibraryB_CAZ_1|gene-1|+|111-1244|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM05_00026|Ecoli-LibraryB_ATM_1|gene-2|+|161-1294|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0091	marA	DLFM05_00031|Ecoli-LibraryA_TET_8|gene-2|+|553-936|complete	marA: transcription factor induces MDR efflux pump AcrAB [ARO:3000263]	gene
RF0007	ABC_efflux	DLFM05_00032|Ecoli-LibraryA_TET_7|gene-2|-|469-2250|complete	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	gene
