CARD:
Seq_Header	Hmmscan_Family
gb|ABY64751.1|ARO:3002667|rmtD	RF0001
gb|ADW66527.1|ARO:3004677|rmtD2	RF0001
gb|AFJ11385.1|ARO:3002666|rmtF	RF0001
gb|AGE00988.1|ARO:3002668|rmtG	RF0001
gb|AGH19769.1|ARO:3003198|rmtH	RF0001
gb|WP_063978071.1|ARO:3000862|sgm	RF0001
gb|AAA88422.1|ARO:3002530|AAC(3)-Ib	RF0002
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	RF0002
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	RF0002
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	RF0002
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	RF0002
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	RF0002
gb|AAL82588.1|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib''	RF0002
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	RF0002
gb|AAR21614.1|ARO:3002529|AAC(3)-Id	RF0002
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	RF0002
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	RF0002
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	RF0002
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	RF0002
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	RF0002
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	RF0002
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	RF0002
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	RF0002
gb|CAD53575.1|ARO:3002531|AAC(3)-Ic	RF0002
gb|CAK55557.1|ARO:3002585|AAC(6')-31	RF0002
gb|AAA16194.1|ARO:3002540|AAC(3)-VIa	RF0003
gb|AAA25334.1|ARO:3002543|AAC(3)-IXa	RF0003
gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	RF0003
gb|AAA26548.1|ARO:3002534|AAC(3)-IIb	RF0003
gb|AAA26685.1|ARO:3002542|AAC(3)-VIIIa	RF0003
gb|AAA88552.1|ARO:3002541|AAC(3)-VIIa	RF0003
gb|AAC46343.1|ARO:3002581|AAC(6')-Ib10	RF0003
gb|AAD02244.1|ARO:3002580|AAC(6')-Ib9	RF0003
gb|AAL38577.1|ARO:3002577|AAC(6')-Ib4	RF0003
gb|AAL51021.2|ARO:3002598|ANT(3'')-Ii-AAC(6')-IId	RF0003
gb|AAN41403.1|ARO:3002582|AAC(6')-Ib11	RF0003
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	RF0003
gb|ABB43029.1|ARO:3002539|AAC(3)-IV	RF0003
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	RF0003
gb|ABS70977.1|ARO:3004623|AAC(3)-IId	RF0003
gb|ABS70978.1|ARO:3004621|AAC(3)-IIe	RF0003
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	RF0003
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	RF0003
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	RF0003
gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	RF0003
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	RF0003
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	RF0003
gb|BAA78619.1|ARO:3002544|AAC(3)-Xa	RF0003
gb|CAA31895.1|ARO:3002533|AAC(3)-IIa	RF0003
gb|CAA38525.1|ARO:3002535|AAC(3)-IIc	RF0003
gb|CAA39184.1|ARO:3002536|AAC(3)-IIIa	RF0003
gb|CAK55557.1|ARO:3002585|AAC(6')-31	RF0003
gb|KSC15183.1|ARO:3002537|AAC(3)-IIIb	RF0003
