Accession	family	query_name	Resfams_description	Ontology_Level
RF0102	MFS_1	DLFM01_00002|AB95_MIN_1|gene-2|+|273-1472|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0053	ClassA	DLFM01_00007|HG1_CAR_8|gene-4|-|2637-3509|complete	Class A beta-lactamase [ARO:3000078]	family
RF0045	CAT	DLFM01_00009|HG1_CHL_2|gene-2|-|635-1282|complete	PF00302.13 Chloramphenicol acetyltransferase [ARO:3000122]	gene
RF0170	TetR_N	DLFM01_00039|AB95_TET_2|gene-1|-|79-705|complete	PF00440.18_Bacterial regulatory proteins, tetR family	gene
RF0102	MFS_1	DLFM01_00039|AB95_TET_2|gene-2|+|809-1984|complete	PF07690.11 Major Facilitator Superfamily [ARO:0010002]	variant
RF0026	ANT2	DLFM01_00042|AB95_SIS_5|gene-3|+|987-1583|complete	Aminoglycoside Nucleotidyltransferase (ANT2) [ARO:3000230]	gene
RF0165	Dihydropteroate	DLFM01_00042|AB95_SIS_5|gene-5|+|2055-2912|complete	TIGR01496_DHPS: dihydropteroate synthase	family
RF0044	CARB-PSE	DLFM01_00054|AB95_PIP_68|gene-1|-|13-1155|complete	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	family
RF0055	ClassC-AmpC	DLFM01_00056|AB95_PIP_67|gene-2|-|480-1655|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0053	ClassA	DLFM01_00058|AB95_PIP_64|gene-2|-|505-1392|complete	Class A beta-lactamase [ARO:3000078]	family
RF0055	ClassC-AmpC	DLFM01_00059|AB95_PIP_62|gene-2|+|287-1441|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00060|AB95_PIP_30|gene-2|-|191-1327|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0055	ClassC-AmpC	DLFM01_00061|AB95_PIP_66|gene-2|+|701-1840|complete	Class C beta-lactamases [ARO:3000076;ARO:3000019]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM01_00082|AB95_PEN_83|gene-2|-|231-1337|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	DLFM01_00083|AB95_PEN_95|gene-2|-|216-1355|complete	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
