Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
DLFM01_00002|AB95_MIN_1|gene-2|+|273-1472|complete	tet(A)	tetracycline efflux MFS transporter Tet(A)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	400	399	100.00	100.00	399	WP_000804064.1	tetracycline efflux MFS transporter Tet(A)	NF012193.0	tetracycline efflux MFS transporter Tet(A)
DLFM01_00007|HG1_CAR_8|gene-4|-|2637-3509|complete	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	291	NA	NA	NA	NA	NA	NA	NF033103.1	class A beta-lactamase
DLFM01_00009|HG1_CHL_2|gene-2|-|635-1282|complete	catA	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	HMM	216	NA	NA	NA	NA	NA	NA	NF000491.1	type A chloramphenicol O-acetyltransferase
DLFM01_00039|AB95_TET_2|gene-2|+|809-1984|complete	tet(G)	tetracycline efflux MFS transporter Tet(G)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	392	391	100.00	100.00	391	WP_001257840.1	tetracycline efflux MFS transporter Tet(G)	NF012192.0	tetracycline efflux MFS transporter Tet(G)
DLFM01_00042|AB95_SIS_5|gene-3|+|987-1583|complete	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	GENTAMICIN/KANAMYCIN/TOBRAMYCIN	EXACTP	199	177	100.00	100.00	177	WP_000381802.1	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	NF000064.3	aminoglycoside nucleotidyltransferase ANT(2'')-Ia
DLFM01_00042|AB95_SIS_5|gene-5|+|2055-2912|complete	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	BLASTP	286	293	93.52	98.91	274	WP_019727244.1	sulfonamide-resistant dihydropteroate synthase Sul1	NF000294.1	sulfonamide-resistant dihydropteroate synthase Sul1
DLFM01_00054|AB95_PIP_68|gene-1|-|13-1155|complete	blaPSE	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	EXACTP	381	288	100.00	100.00	288	WP_001931474.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	NF000480.2	PSE family carbenicillin-hydrolyzing class A beta-lactamase
DLFM01_00056|AB95_PIP_67|gene-2|-|480-1655|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	392	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00058|AB95_PIP_64|gene-2|-|505-1392|complete	blaRAHN	RAHN family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	296	295	100.00	97.63	295	WP_063864601.1	class A extended-spectrum beta-lactamase RAHN-2	NF033103.1	class A beta-lactamase
DLFM01_00059|AB95_PIP_62|gene-2|+|287-1441|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	385	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00060|AB95_PIP_30|gene-2|-|191-1327|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	379	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00061|AB95_PIP_66|gene-2|+|701-1840|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	380	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00082|AB95_PEN_83|gene-2|-|231-1337|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	369	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00083|AB95_PEN_95|gene-2|-|216-1355|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	380	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00086|AB95_PEN_98|gene-2|+|582-1664|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	361	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00088|AB95_PEN_94|gene-2|+|523-1677|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	385	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00089|AB95_PEN_88|gene-3|+|922-2058|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	379	378	100.00	99.47	378	WP_063840466.1	class C beta-lactamase	NF033085.1	class C beta-lactamase
DLFM01_00132|AB95_CHL_13|gene-2|-|193-1407|complete	floR2	chloramphenicol/florfenicol efflux MFS transporter FloR2	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	EXACTP	405	404	100.00	100.00	404	WP_000214125.1	chloramphenicol/florfenicol efflux MFS transporter FloR2	NF000219.1	chloramphenicol/florfenicol efflux MFS transporter FloR
DLFM01_00133|AB95_CHL_21|gene-1|-|1-519|complete	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	BLASTP	173	184	93.48	100.00	172	WP_003159191.1	aminoglycoside N-acetyltransferase AAC(6')-Ib4	NF033074.0	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase
DLFM01_00133|AB95_CHL_21|gene-2|-|661-1293|complete	catB	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTP	211	210	100.00	99.52	210	WP_000800689.1	type B-2 chloramphenicol O-acetyltransferase CatB11	NF000490.1	type B chloramphenicol O-acetyltransferase
DLFM01_00146|AB95_CAR_52|gene-1|+|147-1283|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	379	378	100.00	94.18	378	WP_063840466.1	class C beta-lactamase	NF033085.1	class C beta-lactamase
DLFM01_00147|AB95_CAR_62|gene-2|-|355-1491|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	379	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00148|AB95_CAR_58|gene-2|-|289-1425|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	379	378	100.00	99.21	378	WP_063840466.1	class C beta-lactamase	NF033085.1	class C beta-lactamase
DLFM01_00152|AB95_CAR_42|gene-4|-|1599-2699|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	367	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00175|AB95_AMX_61|gene-2|+|764-1900|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	379	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00178|AB95_AMX_59|gene-1|+|272-1426|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	385	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00179|AB95_AMX_63|gene-2|+|313-1467|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	385	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM01_00179|AB95_AMX_63|gene-3|-|1596-2750|complete	ampC	class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	385	NA	NA	NA	NA	NA	NA	NF033085.1	class C beta-lactamase
DLFM02_00025|F30_PEN_104|gene-3|-|775-1650|complete	blaCTX-M	CTX-M family class A extended-spectrum beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	292	291	99.66	90.34	290	WP_063860092.1	class A extended-spectrum beta-lactamase CTX-M-95	NF033089.1	CTX-M family class A extended-spectrum beta-lactamase
DLFM02_00031|F30_TMP_35|gene-2|+|465-959|complete	dfrF	trimethoprim-resistant dihydrofolate reductase DfrF	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	165	164	100.00	100.00	164	WP_002322211.1	trimethoprim-resistant dihydrofolate reductase DfrF	NF000333.1	trimethoprim-resistant dihydrofolate reductase DfrF
DLFM02_00043|F30_TMP_5|gene-3|-|864-1319|complete	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	PARTIALP	152	165	78.18	100.00	129	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12	NF000053.2	trimethoprim-resistant dihydrofolate reductase DfrA12
DLFM02_00053|F30_SXT_13|gene-2|-|558-1055|complete	dfrA12	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTP	166	165	100.00	100.00	165	WP_001083725.1	trimethoprim-resistant dihydrofolate reductase DfrA12	NF000053.2	trimethoprim-resistant dihydrofolate reductase DfrA12
DLFM02_00070|F30_FOX_7|gene-2|+|267-983|complete	blaACT	ACT family cephalosporin-hydrolyzing class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIALP	239	381	60.37	99.57	230	WP_023310120.1	cephalosporin-hydrolyzing class C beta-lactamase ACT-2	NF000385.4	ACT family cephalosporin-hydrolyzing class C beta-lactamase
DLFM02_00093|F30_TET_15|gene-3|-|2816-4735|complete	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	639	100.00	99.53	639	WP_000691743.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
