Accession	family	query_name	Resfams_description	Ontology_Level
RF0002	AAC3	MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0003	AAC3-I	MEG_22|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0002	AAC3	MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0003	AAC3-I	MEG_24|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_30|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_31|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0002	AAC3	MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0003	AAC3-I	MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0002	AAC3	MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0003	AAC3-I	MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0002	AAC3	MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0003	AAC3-I	MEG_43|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0002	AAC3	MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0003	AAC3-I	MEG_49|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0003	AAC3-I	MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0002	AAC3	MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_52|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_53|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0002	AAC3	MEG_55|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
